Sample in Buffer,Sample in Window,TRIGGER,i_system_wrapper/system_i/acquisition_axis_0_st_fft_curr[2:0],i_system_wrapper/system_i/acquisition_axis_0_event_frame_started,i_system_wrapper/system_i/acquisition_axis_0_st_fft_next[2:0],i_system_wrapper/system_i/acquisition_axis_0_st_xfft_curr,i_system_wrapper/system_i/acquisition_axis_0_st_xfft_next,i_system_wrapper/system_i/acquisition_axis_0_st_curr[3:0],i_system_wrapper/system_i/acquisition_axis_0_xfft_cntr[16:0],i_system_wrapper/system_i/acquisition_axis_0_config_xfft_valid,i_system_wrapper/system_i/acquisition_axis_0_switch_position,i_system_wrapper/system_i/acquisition_axis_0_config_xfft_data[15:0],i_system_wrapper/system_i/acquisition_axis_0_xfft_data_out_tvalid,i_system_wrapper/system_i/acquisition_axis_0_xfft_data_out_tlast,i_system_wrapper/system_i/acquisition_axis_0_xfft_tvalid1,i_system_wrapper/system_i/acquisition_axis_0_second_peak_data[31:0],i_system_wrapper/system_i/acquisition_axis_0_max_peak[15:0],i_system_wrapper/system_i/acquisition_axis_0_max_index[15:0],i_system_wrapper/system_i/acquisition_axis_0_second_peak[31:0],i_system_wrapper/system_i/acquisition_axis_0_max_index_done,i_system_wrapper/system_i/acquisition_axis_0_second_peak_valid,i_system_wrapper/system_i/acquisition_axis_0_second_peak_last,i_system_wrapper/system_i/acquisition_axis_0_xfft_index[15:0],i_system_wrapper/system_i/acquisition_axis_0_xfft_data_out_tdata[31:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,UNSIGNED,UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,UNSIGNED
34,34,0,1,0,"ST_FFT",1,1,1,00000,1,1,010c,0,0,0,4281079004,0,0,0,0,0,0,0ff0,4281079004
35,35,0,1,0,"ST_FFT",1,1,1,00000,1,1,010c,0,0,0,4281079004,0,0,0,0,0,0,0ff0,4281079004
36,36,0,1,0,"ST_FFT",1,1,1,00000,1,1,010c,0,0,0,4281079004,0,0,0,0,0,0,0ff0,4281079004
37,37,0,1,0,"ST_FFT",1,1,1,00000,1,1,010c,0,0,0,4281079004,0,0,0,0,0,0,0ff0,4281079004
38,38,0,1,0,"ST_FFT",1,1,1,00000,1,1,010c,0,0,0,4281079004,0,0,0,0,0,0,0ff0,4281079004
39,39,0,1,0,"ST_FFT",1,1,1,00000,1,1,010c,0,0,0,4281079004,0,0,0,0,0,0,0ff0,4281079004
40,40,0,1,0,"ST_FFT",1,1,1,00000,1,1,010c,0,0,0,4281079004,0,0,0,0,0,0,0ff0,4281079004
41,41,0,1,0,"ST_FFT",1,1,1,00000,1,1,010c,0,0,0,4281079004,0,0,0,0,0,0,0ff0,4281079004
42,42,0,1,0,"ST_FFT",1,1,1,00000,1,1,010c,0,0,0,4281079004,0,0,0,0,0,0,0ff0,4281079004
43,43,0,1,0,"ST_FFT",1,1,1,00000,1,1,010c,0,0,0,4281079004,0,0,0,0,0,0,0ff0,4281079004
44,44,0,1,0,"ST_FFT",1,1,1,00000,1,1,010c,0,0,0,4281079004,0,0,0,0,0,0,0ff0,4281079004
45,45,0,1,0,"ST_FFT",1,1,1,00000,1,1,010c,0,0,0,4281079004,0,0,0,0,0,0,0ff0,4281079004
46,46,0,1,0,"ST_FFT",1,1,1,00000,1,1,010c,0,0,0,4281079004,0,0,0,0,0,0,0ff0,4281079004
47,47,0,1,0,"ST_FFT",1,1,1,00000,1,1,010c,0,0,0,4281079004,0,0,0,0,0,0,0ff0,4281079004
48,48,0,1,0,"ST_FFT",1,1,1,00000,1,1,010c,0,0,0,4281079004,0,0,0,0,0,0,0ff0,4281079004
49,49,0,1,0,"ST_FFT",1,1,1,00000,1,1,010c,0,0,0,4281079004,0,0,0,0,0,0,0ff0,4281079004
50,50,0,1,0,"ST_FFT",1,1,1,00000,1,1,010c,0,0,0,4281079004,0,0,0,0,0,0,0ff0,4281079004
51,51,0,1,0,"ST_FFT",1,1,1,00000,1,1,010c,0,0,0,4281079004,0,0,0,0,0,0,0ff0,4281079004
52,52,0,1,0,"ST_FFT",1,1,1,00000,1,1,010c,0,0,0,4281079004,0,0,0,0,0,0,0ff0,4281079004
53,53,0,1,0,"ST_FFT",1,1,1,00000,1,1,010c,0,0,0,4281079004,0,0,0,0,0,0,0ff0,4281079004
54,54,0,1,0,"ST_FFT",1,1,1,00000,1,1,010c,0,0,0,4281079004,0,0,0,0,0,0,0ff0,4281079004
55,55,0,1,0,"ST_FFT",1,1,1,00000,1,1,010c,0,0,0,4281079004,0,0,0,0,0,0,0ff0,4281079004
56,56,0,1,0,"ST_FFT",1,1,1,00000,1,1,010c,0,0,0,4281079004,0,0,0,0,0,0,0ff0,4281079004
57,57,0,1,0,"ST_FFT",1,1,1,00000,1,1,010c,0,0,0,4281079004,0,0,0,0,0,0,0ff0,4281079004
58,58,0,1,0,"ST_FFT",1,1,1,00000,1,1,010c,0,0,0,4281079004,0,0,0,0,0,0,0ff0,4281079004
59,59,0,1,0,"ST_FFT",1,1,1,00000,1,1,010c,0,0,0,4281079004,0,0,0,0,0,0,0ff0,4281079004
60,60,0,1,0,"ST_FFT",1,1,1,00000,1,1,010c,0,0,0,4281079004,0,0,0,0,0,0,0ff0,4281079004
61,61,0,1,0,"ST_FFT",1,1,1,00000,1,1,010c,0,0,0,4281079004,0,0,0,0,0,0,0ff0,4281079004
62,62,0,1,0,"ST_FFT",1,1,1,00000,1,1,010c,0,0,0,4281079004,0,0,0,0,0,0,0ff0,4281079004
63,63,0,1,0,"ST_FFT",1,1,1,00000,1,1,010c,0,0,0,4281079004,0,0,0,0,0,0,0ff0,4281079004
64,64,0,1,0,"ST_FFT",1,1,1,00000,1,1,010c,0,0,0,4281079004,0,0,0,0,0,0,0ff0,4281079004
65,65,0,1,0,"ST_FFT",1,1,1,00000,1,1,010c,0,0,0,4281079004,0,0,0,0,0,0,0ff0,4281079004
66,66,0,1,0,"ST_FFT",1,1,1,00000,1,1,010c,0,0,0,4281079004,0,0,0,0,0,0,0ff0,4281079004
67,67,0,1,0,"ST_FFT",1,1,1,00000,1,1,010c,0,0,0,4281079004,0,0,0,0,0,0,0ff0,4281079004
68,68,0,1,0,"ST_FFT",1,1,1,00000,1,1,010c,0,0,0,4281079004,0,0,0,0,0,0,0ff0,4281079004
69,69,0,1,0,"ST_FFT",1,1,1,00000,1,1,010c,0,0,0,4281079004,0,0,0,0,0,0,0ff0,4281079004
70,70,0,1,0,"ST_FFT",1,1,1,00000,1,1,010c,0,0,0,4281079004,0,0,0,0,0,0,0ff0,4281079004
71,71,0,1,0,"ST_FFT",1,1,1,00000,1,1,010c,0,0,0,4281079004,0,0,0,0,0,0,0ff0,4281079004
72,72,0,1,0,"ST_FFT",1,1,1,00000,1,1,010c,0,0,0,4281079004,0,0,0,0,0,0,0ff0,4281079004
73,73,0,1,0,"ST_FFT",1,1,1,00000,1,1,010c,0,0,0,4281079004,0,0,0,0,0,0,0ff0,4281079004
74,74,0,1,0,"ST_FFT",1,1,1,00000,1,1,010c,0,0,0,4281079004,0,0,0,0,0,0,0ff0,4281079004
75,75,0,1,0,"ST_FFT",1,1,1,00000,1,1,010c,0,0,0,4281079004,0,0,0,0,0,0,0ff0,4281079004
76,76,0,1,0,"ST_FFT",1,1,1,00000,1,1,010c,0,0,0,4281079004,0,0,0,0,0,0,0ff0,4281079004
77,77,0,1,0,"ST_FFT",1,1,1,00000,1,1,010c,0,0,0,4281079004,0,0,0,0,0,0,0ff0,4281079004
78,78,0,1,0,"ST_FFT",1,1,1,00000,1,1,010c,0,0,0,4281079004,0,0,0,0,0,0,0ff0,4281079004
79,79,0,1,0,"ST_FFT",1,1,1,00000,1,1,010c,0,0,0,4281079004,0,0,0,0,0,0,0ff0,4281079004
80,80,0,1,0,"ST_FFT",1,1,1,00000,1,1,010c,0,0,0,4281079004,0,0,0,0,0,0,0ff0,4281079004
81,81,0,1,0,"ST_FFT",1,1,1,00000,1,1,010c,0,0,0,4281079004,0,0,0,0,0,0,0ff0,4281079004
82,82,0,1,0,"ST_FFT",1,1,1,00000,1,1,010c,0,0,0,4281079004,0,0,0,0,0,0,0ff0,4281079004
83,83,0,1,0,"ST_FFT",1,1,1,00000,1,1,010c,0,0,0,4281079004,0,0,0,0,0,0,0ff0,4281079004
84,84,0,1,0,"ST_FFT",1,1,1,00000,1,1,010c,0,0,0,4281079004,0,0,0,0,0,0,0ff0,4281079004
85,85,0,1,0,"ST_FFT",1,1,1,00000,1,1,010c,0,0,0,4281079004,0,0,0,0,0,0,0ff0,4281079004
86,86,0,1,0,"ST_FFT",1,1,1,00000,1,1,010c,0,0,0,4281079004,0,0,0,0,0,0,0ff0,4281079004
87,87,0,1,0,"ST_FFT",1,1,1,00000,1,1,010c,0,0,0,4281079004,0,0,0,0,0,0,0ff0,4281079004
88,88,0,1,0,"ST_FFT",1,1,1,00000,1,1,010c,0,0,0,4281079004,0,0,0,0,0,0,0ff0,4281079004
89,89,0,1,0,"ST_FFT",1,1,1,00000,1,1,010c,0,0,0,4281079004,0,0,0,0,0,0,0ff0,4281079004
90,90,0,1,0,"ST_FFT",1,1,1,00000,1,1,010c,0,0,0,4281079004,0,0,0,0,0,0,0ff0,4281079004
91,91,0,1,0,"ST_FFT",1,1,1,00000,1,1,010c,0,0,0,4281079004,0,0,0,0,0,0,0ff0,4281079004
92,92,0,1,0,"ST_FFT",1,1,1,00000,1,1,010c,0,0,0,4281079004,0,0,0,0,0,0,0ff0,4281079004
93,93,0,1,0,"ST_FFT",1,1,1,00000,1,1,010c,0,0,0,4281079004,0,0,0,0,0,0,0ff0,4281079004
94,94,0,1,0,"ST_FFT",1,1,1,00000,1,1,010c,0,0,0,4281079004,0,0,0,0,0,0,0ff0,4281079004
95,95,0,1,0,"ST_FFT",1,1,1,00000,1,1,010c,0,0,0,4281079004,0,0,0,0,0,0,0ff0,4281079004
96,96,0,1,0,"ST_FFT",1,1,1,00000,1,1,010c,0,0,0,4281079004,0,0,0,0,0,0,0ff0,4281079004
97,97,0,1,0,"ST_FFT",1,1,1,00000,1,1,010c,0,0,0,4281079004,0,0,0,0,0,0,0ff0,4281079004
98,98,0,1,0,"ST_FFT",1,1,1,00000,1,1,010c,0,0,0,4281079004,0,0,0,0,0,0,0ff0,4281079004
99,99,0,1,0,"ST_FFT",1,1,1,00000,1,1,010c,0,0,0,4281079004,0,0,0,0,0,0,0ff0,4281079004
100,100,0,1,0,"ST_FFT",1,1,1,00000,1,1,010c,0,0,0,4281079004,0,0,0,0,0,0,0ff0,4281079004
101,101,0,1,0,"ST_FFT",1,1,1,00000,1,1,010c,0,0,0,4281079004,0,0,0,0,0,0,0ff0,4281079004
102,102,0,1,0,"ST_FFT",1,1,1,00000,1,1,010c,0,0,0,4281079004,0,0,0,0,0,0,0ff0,4281079004
103,103,0,1,0,"ST_FFT",1,1,1,00000,1,1,010c,0,0,0,4281079004,0,0,0,0,0,0,0ff0,4281079004
104,104,0,1,0,"ST_FFT",1,1,1,00000,1,1,010c,0,0,0,4281079004,0,0,0,0,0,0,0ff0,4281079004
105,105,0,1,0,"ST_FFT",1,1,1,00000,1,1,010c,0,0,0,4281079004,0,0,0,0,0,0,0ff0,4281079004
106,106,0,1,0,"ST_FFT",1,1,1,00000,1,1,010c,0,0,0,4281079004,0,0,0,0,0,0,0ff0,4281079004
107,107,0,1,0,"ST_FFT",1,1,1,00000,1,1,010c,0,0,0,4281079004,0,0,0,0,0,0,0ff0,4281079004
108,108,0,1,0,"ST_FFT",1,1,1,00000,1,1,010c,0,0,0,4281079004,0,0,0,0,0,0,0ff0,4281079004
109,109,0,1,0,"ST_FFT",1,1,1,00000,1,1,010c,0,0,0,4281079004,0,0,0,0,0,0,0ff0,4281079004
110,110,0,1,0,"ST_FFT",1,1,1,00000,1,1,010c,0,0,0,4281079004,0,0,0,0,0,0,0ff0,4281079004
111,111,0,1,0,"ST_FFT",1,1,1,00000,1,1,010c,0,0,0,4281079004,0,0,0,0,0,0,0ff0,4281079004
112,112,0,1,0,"ST_FFT",1,1,1,00000,1,1,010c,0,0,0,4281079004,0,0,0,0,0,0,0ff0,4281079004
113,113,0,1,0,"ST_FFT",1,1,1,00000,1,1,010c,0,0,0,4281079004,0,0,0,0,0,0,0ff0,4281079004
114,114,0,1,0,"ST_FFT",1,1,1,00000,1,1,010c,0,0,0,4281079004,0,0,0,0,0,0,0ff0,4281079004
115,115,0,1,0,"ST_FFT",1,1,1,00000,1,1,010c,0,0,0,4281079004,0,0,0,0,0,0,0ff0,4281079004
116,116,0,1,0,"ST_FFT",1,1,1,00000,1,1,010c,0,0,0,4281079004,0,0,0,0,0,0,0ff0,4281079004
117,117,0,1,0,"ST_FFT",1,1,1,00000,1,1,010c,0,0,0,4281079004,0,0,0,0,0,0,0ff0,4281079004
118,118,0,1,0,"ST_FFT",1,1,1,00000,1,1,010c,0,0,0,4281079004,0,0,0,0,0,0,0ff0,4281079004
119,119,0,1,0,"ST_FFT",1,1,1,00000,1,1,010c,0,0,0,4281079004,0,0,0,0,0,0,0ff0,4281079004
120,120,0,1,0,"ST_FFT",1,1,1,00000,1,1,010c,0,0,0,4281079004,0,0,0,0,0,0,0ff0,4281079004
121,121,0,1,0,"ST_FFT",1,1,1,00000,1,1,010c,0,0,0,4281079004,0,0,0,0,0,0,0ff0,4281079004
122,122,0,1,0,"ST_FFT",1,1,1,00000,1,1,010c,0,0,0,4281079004,0,0,0,0,0,0,0ff0,4281079004
123,123,0,1,0,"ST_FFT",1,1,1,00000,1,1,010c,0,0,0,4281079004,0,0,0,0,0,0,0ff0,4281079004
124,124,0,1,0,"ST_FFT",1,1,1,00000,1,1,010c,0,0,0,4281079004,0,0,0,0,0,0,0ff0,4281079004
125,125,0,1,0,"ST_FFT",1,1,1,00000,1,1,010c,0,0,0,4281079004,0,0,0,0,0,0,0ff0,4281079004
126,126,0,1,0,"ST_FFT",1,1,1,00000,1,1,010c,0,0,0,4281079004,0,0,0,0,0,0,0ff0,4281079004
127,127,0,1,0,"ST_FFT",1,1,1,00000,1,1,010c,0,0,0,4281079004,0,0,0,0,0,0,0ff0,4281079004
128,128,0,1,0,"ST_FFT",1,1,1,00000,1,1,010c,0,0,0,4281079004,0,0,0,0,0,0,0ff0,4281079004
129,129,0,1,0,"ST_FFT",1,1,1,00000,1,1,010c,0,0,0,4281079004,0,0,0,0,0,0,0ff0,4281079004
130,130,0,1,0,"ST_FFT",1,1,1,00000,1,1,010c,0,0,0,4281079004,0,0,0,0,0,0,0ff0,4281079004
131,131,0,1,0,"ST_FFT",1,1,1,00000,1,1,010c,0,0,0,4281079004,0,0,0,0,0,0,0ff0,4281079004
132,132,0,1,0,"ST_FFT",1,1,1,00000,1,1,010c,0,0,0,4281079004,0,0,0,0,0,0,0ff0,4281079004
133,133,0,1,0,"ST_FFT",1,1,1,00000,1,1,010c,0,0,0,4281079004,0,0,0,0,0,0,0ff0,4281079004
134,134,0,1,0,"ST_FFT",1,1,1,00000,1,1,010c,0,0,0,4281079004,0,0,0,0,0,0,0ff0,4281079004
135,135,0,1,0,"ST_FFT",1,1,1,00000,1,1,010c,0,0,0,4281079004,0,0,0,0,0,0,0ff0,4281079004
136,136,0,1,0,"ST_FFT",1,1,1,00000,1,1,010c,0,0,0,4281079004,0,0,0,0,0,0,0ff0,4281079004
137,137,0,1,0,"ST_FFT",1,1,1,00000,1,1,010c,0,0,0,4281079004,0,0,0,0,0,0,0ff0,4281079004
138,138,0,1,0,"ST_FFT",1,1,1,00000,1,1,010c,0,0,0,4281079004,0,0,0,0,0,0,0ff0,4281079004
139,139,0,1,0,"ST_FFT",1,1,1,00000,1,1,010c,0,0,0,4281079004,0,0,0,0,0,0,0ff0,4281079004
