Sample in Buffer,Sample in Window,TRIGGER,i_system_wrapper/system_i/acq_data_fifo_m_axis_tvalid,i_system_wrapper/system_i/acq_l1_data_slice_Dout[15:0],i_system_wrapper/system_i/acq_l5_data_slice_Dout[15:0],i_system_wrapper/system_i/trk_data_fifo_m_axis_tdata[31:0],i_system_wrapper/system_i/trk_data_fifo_m_axis_tvalid
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX
721,721,0,0,fe06,00ff,ffff02e9,1
722,722,0,0,fe06,00ff,ffff02e9,0
723,723,0,0,fe06,00ff,ffff02e9,0
724,724,0,0,fe06,00ff,ffff02e9,0
725,725,0,0,fe06,00ff,fffd03e6,1
726,726,0,0,fe06,00ff,fffd03e6,0
727,727,0,0,fe06,00ff,fffd03e6,0
728,728,0,0,fe06,00ff,fffd03e6,0
729,729,0,0,fe06,00ff,fffd03e6,0
730,730,0,0,fe06,00ff,0001fcea,1
731,731,0,0,fe06,00ff,0001fcea,0
732,732,0,0,fe06,00ff,0001fcea,0
733,733,0,0,fe06,00ff,0001fcea,0
734,734,0,0,fe06,00ff,0001fcea,0
735,735,0,0,fe06,00ff,02fe02ed,1
736,736,0,0,fe06,00ff,02fe02ed,0
737,737,0,0,fe06,00ff,02fe02ed,0
738,738,0,0,fe06,00ff,02fe02ed,0
739,739,0,0,fe06,00ff,ff0301e9,1
740,740,0,0,fe06,00ff,ff0301e9,0
741,741,0,0,fe06,00ff,ff0301e9,0
742,742,0,0,fe06,00ff,ff0301e9,0
743,743,0,0,fe06,00ff,ff0301e9,0
744,744,0,0,fe06,00ff,fdfe00e5,1
745,745,0,0,fe06,00ff,fdfe00e5,0
746,746,0,0,fe06,00ff,fdfe00e5,0
747,747,0,0,fe06,00ff,fdfe00e5,0
748,748,0,0,fe06,00ff,fe00ffe8,1
749,749,0,0,fe06,00ff,fe00ffe8,0
750,750,0,0,fe06,00ff,fe00ffe8,0
751,751,0,0,fe06,00ff,fe00ffe8,0
752,752,0,0,fe06,00ff,fe00ffe8,0
753,753,0,1,ff0b,ffff,fc02fee8,1
754,754,0,0,ff0b,ffff,fc02fee8,0
755,755,0,0,ff0b,ffff,fc02fee8,0
756,756,0,0,ff0b,ffff,fc02fee8,0
757,757,0,0,ff0b,ffff,030003ea,1
758,758,0,0,ff0b,ffff,030003ea,0
759,759,0,0,ff0b,ffff,030003ea,0
760,760,0,0,ff0b,ffff,030003ea,0
761,761,0,0,ff0b,ffff,030003ea,0
762,762,0,0,ff0b,ffff,02fefee6,1
763,763,0,0,ff0b,ffff,02fefee6,0
764,764,0,0,ff0b,ffff,02fefee6,0
765,765,0,0,ff0b,ffff,02fefee6,0
766,766,0,0,ff0b,ffff,02fefee6,0
767,767,0,0,ff0b,ffff,0100fee9,1
768,768,0,0,ff0b,ffff,0100fee9,0
769,769,0,0,ff0b,ffff,0100fee9,0
770,770,0,0,ff0b,ffff,0100fee9,0
771,771,0,0,ff0b,ffff,000200e7,1
772,772,0,0,ff0b,ffff,000200e7,0
