Sample in Buffer,Sample in Window,TRIGGER,i_system_wrapper/system_i/acquisition_axis_0_st_curr[3:0],i_system_wrapper/system_i/acquisition_axis_0_xfft_data_in_tdata[31:0],i_system_wrapper/system_i/acquisition_axis_0_xfft_data_in_tvalid,i_system_wrapper/system_i/acquisition_axis_0_xfft_cntr[16:0],i_system_wrapper/system_i/acquisition_axis_0_raw_data[15:0],i_system_wrapper/system_i/acquisition_axis_0_raw_data_valid,i_system_wrapper/system_i/acquisition_axis_0_sincos_valid,i_system_wrapper/system_i/acquisition_axis_0_sincos_data[15:0],i_system_wrapper/system_i/acquisition_axis_0_phase_count[31:0],i_system_wrapper/system_i/acquisition_axis_0_carr_mix,i_system_wrapper/system_i/acquisition_axis_0_config_xfft_data[15:0],i_system_wrapper/system_i/acquisition_axis_0_config_xfft_valid,i_system_wrapper/system_i/acquisition_axis_0_st_xfft_next,i_system_wrapper/system_i/acquisition_axis_0_st_xfft_curr,i_system_wrapper/system_i/acquisition_axis_0_st_fft_next[2:0],i_system_wrapper/system_i/acquisition_axis_0_st_fft_curr[2:0],i_system_wrapper/system_i/acquisition_axis_0_switch_position,i_system_wrapper/system_i/acquisition_axis_0_xfft_data_out_tvalid,i_system_wrapper/system_i/acquisition_axis_0_xfft_data_out_tdata[31:0],i_system_wrapper/system_i/acquisition_axis_0_xfft_data_out_tlast,i_system_wrapper/system_i/acquisition_axis_0_event_frame_started,i_system_wrapper/system_i/acq_stop_slice_Dout,i_system_wrapper/system_i/acquisition_axis_0_xfft_tvalid1,i_system_wrapper/system_i/acquisition_axis_0_o_acq_done,i_system_wrapper/system_i/acquisition_axis_0_second_peak_valid,i_system_wrapper/system_i/acquisition_axis_0_second_peak_last,i_system_wrapper/system_i/acquisition_axis_0_max_peak[15:0],i_system_wrapper/system_i/acquisition_axis_0_max_index_done,i_system_wrapper/system_i/acquisition_axis_0_second_peak_data[31:0],i_system_wrapper/system_i/acquisition_axis_0_second_peak[31:0],i_system_wrapper/system_i/acquisition_axis_0_max_index[15:0],i_system_wrapper/system_i/acq_exclude_limit_slice_Dout[31:0],i_system_wrapper/system_i/acquisition_axis_0_xfft_index[15:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,UNSIGNED,UNSIGNED,HEX
33,33,0,4,00000000,0,00000,0000,1,0,0140,00000000,0,010c,1,0,0,"ST_FFT",1,1,0,ff9c0094,0,0,0,0,0,0,0,0000,0,ff9c0094,00000000,0,4,0ff0
34,34,0,4,00000000,0,00000,0000,1,0,0140,00000000,0,010c,1,0,0,"ST_FFT",1,1,0,ff9c0094,0,0,0,0,0,0,0,0000,0,ff9c0094,00000000,0,4,0ff0
35,35,0,4,00000000,0,00000,0000,1,0,0140,00000000,0,010c,1,0,0,"ST_FFT",1,1,0,ff9c0094,0,0,0,0,0,0,0,0000,0,ff9c0094,00000000,0,4,0ff0
36,36,0,4,00000000,0,00000,0000,1,0,0140,00000000,0,010c,1,0,0,"ST_FFT",1,1,0,ff9c0094,0,0,0,0,0,0,0,0000,0,ff9c0094,00000000,0,4,0ff0
37,37,0,4,00000000,0,00000,0000,1,0,0140,00000000,0,010c,1,0,0,"ST_FFT",1,1,0,ff9c0094,0,0,0,0,0,0,0,0000,0,ff9c0094,00000000,0,4,0ff0
38,38,0,4,00000000,0,00000,0000,1,0,0140,00000000,0,010c,1,0,0,"ST_FFT",1,1,0,ff9c0094,0,0,0,0,0,0,0,0000,0,ff9c0094,00000000,0,4,0ff0
39,39,0,4,00000000,0,00000,0000,1,0,0140,00000000,0,010c,1,0,0,"ST_FFT",1,1,0,ff9c0094,0,0,0,0,0,0,0,0000,0,ff9c0094,00000000,0,4,0ff0
40,40,0,4,00000000,0,00000,0000,1,0,0140,00000000,0,010c,1,0,0,"ST_FFT",1,1,0,ff9c0094,0,0,0,0,0,0,0,0000,0,ff9c0094,00000000,0,4,0ff0
41,41,0,4,00000000,0,00000,0000,1,0,0140,00000000,0,010c,1,0,0,"ST_FFT",1,1,0,ff9c0094,0,0,0,0,0,0,0,0000,0,ff9c0094,00000000,0,4,0ff0
42,42,0,4,00000000,0,00000,0000,1,0,0140,00000000,0,010c,1,0,0,"ST_FFT",1,1,0,ff9c0094,0,0,0,0,0,0,0,0000,0,ff9c0094,00000000,0,4,0ff0
43,43,0,4,00000000,0,00000,0000,1,0,0140,00000000,0,010c,1,0,0,"ST_FFT",1,1,0,ff9c0094,0,0,0,0,0,0,0,0000,0,ff9c0094,00000000,0,4,0ff0
44,44,0,4,00000000,0,00000,0000,1,0,0140,00000000,0,010c,1,0,0,"ST_FFT",1,1,0,ff9c0094,0,0,0,0,0,0,0,0000,0,ff9c0094,00000000,0,4,0ff0
45,45,0,4,00000000,0,00000,0000,1,0,0140,00000000,0,010c,1,0,0,"ST_FFT",1,1,0,ff9c0094,0,0,0,0,0,0,0,0000,0,ff9c0094,00000000,0,4,0ff0
46,46,0,4,00000000,0,00000,0000,1,0,0140,00000000,0,010c,1,0,0,"ST_FFT",1,1,0,ff9c0094,0,0,0,0,0,0,0,0000,0,ff9c0094,00000000,0,4,0ff0
47,47,0,4,00000000,0,00000,0000,1,0,0140,00000000,0,010c,1,0,0,"ST_FFT",1,1,0,ff9c0094,0,0,0,0,0,0,0,0000,0,ff9c0094,00000000,0,4,0ff0
48,48,0,4,00000000,0,00000,0000,1,0,0140,00000000,0,010c,1,0,0,"ST_FFT",1,1,0,ff9c0094,0,0,0,0,0,0,0,0000,0,ff9c0094,00000000,0,4,0ff0
49,49,0,4,00000000,0,00000,0000,1,0,0140,00000000,0,010c,1,0,0,"ST_FFT",1,1,0,ff9c0094,0,0,0,0,0,0,0,0000,0,ff9c0094,00000000,0,4,0ff0
50,50,0,4,00000000,0,00000,0000,1,0,0140,00000000,0,010c,1,0,0,"ST_FFT",1,1,0,ff9c0094,0,0,0,0,0,0,0,0000,0,ff9c0094,00000000,0,4,0ff0
51,51,0,4,00000000,0,00000,0000,1,0,0140,00000000,0,010c,1,0,0,"ST_FFT",1,1,0,ff9c0094,0,0,0,0,0,0,0,0000,0,ff9c0094,00000000,0,4,0ff0
52,52,0,4,00000000,0,00000,0000,1,0,0140,00000000,0,010c,1,0,0,"ST_FFT",1,1,0,ff9c0094,0,0,0,0,0,0,0,0000,0,ff9c0094,00000000,0,4,0ff0
53,53,0,4,00000000,0,00000,0000,1,0,0140,00000000,0,010c,1,0,0,"ST_FFT",1,1,0,ff9c0094,0,0,0,0,0,0,0,0000,0,ff9c0094,00000000,0,4,0ff0
54,54,0,4,00000000,0,00000,0000,1,0,0140,00000000,0,010c,1,0,0,"ST_FFT",1,1,0,ff9c0094,0,0,0,0,0,0,0,0000,0,ff9c0094,00000000,0,4,0ff0
55,55,0,4,00000000,0,00000,0000,1,0,0140,00000000,0,010c,1,0,0,"ST_FFT",1,1,0,ff9c0094,0,0,0,0,0,0,0,0000,0,ff9c0094,00000000,0,4,0ff0
56,56,0,4,00000000,0,00000,0000,1,0,0140,00000000,0,010c,1,0,0,"ST_FFT",1,1,0,ff9c0094,0,0,0,0,0,0,0,0000,0,ff9c0094,00000000,0,4,0ff0
57,57,0,4,00000000,0,00000,0000,1,0,0140,00000000,0,010c,1,0,0,"ST_FFT",1,1,0,ff9c0094,0,0,0,0,0,0,0,0000,0,ff9c0094,00000000,0,4,0ff0
58,58,0,4,00000000,0,00000,0000,1,0,0140,00000000,0,010c,1,0,0,"ST_FFT",1,1,0,ff9c0094,0,0,0,0,0,0,0,0000,0,ff9c0094,00000000,0,4,0ff0
59,59,0,4,00000000,0,00000,0000,1,0,0140,00000000,0,010c,1,0,0,"ST_FFT",1,1,0,ff9c0094,0,0,0,0,0,0,0,0000,0,ff9c0094,00000000,0,4,0ff0
60,60,0,4,00000000,0,00000,0000,1,0,0140,00000000,0,010c,1,0,0,"ST_FFT",1,1,0,ff9c0094,0,0,0,0,0,0,0,0000,0,ff9c0094,00000000,0,4,0ff0
61,61,0,4,00000000,0,00000,0000,1,0,0140,00000000,0,010c,1,0,0,"ST_FFT",1,1,0,ff9c0094,0,0,0,0,0,0,0,0000,0,ff9c0094,00000000,0,4,0ff0
62,62,0,4,00000000,0,00000,0000,1,0,0140,00000000,0,010c,1,0,0,"ST_FFT",1,1,0,ff9c0094,0,0,0,0,0,0,0,0000,0,ff9c0094,00000000,0,4,0ff0
63,63,0,4,00000000,0,00000,0000,1,0,0140,00000000,0,010c,1,0,0,"ST_FFT",1,1,0,ff9c0094,0,0,0,0,0,0,0,0000,0,ff9c0094,00000000,0,4,0ff0
64,64,0,4,00000000,0,00000,0000,1,0,0140,00000000,0,010c,1,0,0,"ST_FFT",1,1,0,ff9c0094,0,0,0,0,0,0,0,0000,0,ff9c0094,00000000,0,4,0ff0
