Sample in Buffer,Sample in Window,TRIGGER,i_system_wrapper/system_i/acquisition_axis_0_st_curr[3:0],i_system_wrapper/system_i/acquisition_axis_0_xfft_data_in_tdata[31:0],i_system_wrapper/system_i/acquisition_axis_0_xfft_data_in_tvalid,i_system_wrapper/system_i/acquisition_axis_0_xfft_cntr[16:0],i_system_wrapper/system_i/acquisition_axis_0_raw_data[15:0],i_system_wrapper/system_i/acquisition_axis_0_raw_data_valid,i_system_wrapper/system_i/acquisition_axis_0_sincos_valid,i_system_wrapper/system_i/acquisition_axis_0_sincos_data[15:0],i_system_wrapper/system_i/acquisition_axis_0_phase_count[31:0],i_system_wrapper/system_i/acquisition_axis_0_carr_mix,i_system_wrapper/system_i/acquisition_axis_0_config_xfft_data[15:0],i_system_wrapper/system_i/acquisition_axis_0_config_xfft_valid,i_system_wrapper/system_i/acquisition_axis_0_st_xfft_next,i_system_wrapper/system_i/acquisition_axis_0_st_xfft_curr,i_system_wrapper/system_i/acquisition_axis_0_st_fft_next[2:0],i_system_wrapper/system_i/acquisition_axis_0_st_fft_curr[2:0],i_system_wrapper/system_i/acquisition_axis_0_switch_position,i_system_wrapper/system_i/acquisition_axis_0_xfft_data_out_tvalid,i_system_wrapper/system_i/acquisition_axis_0_xfft_data_out_tdata[31:0],i_system_wrapper/system_i/acquisition_axis_0_xfft_data_out_tlast,i_system_wrapper/system_i/acquisition_axis_0_event_frame_started,i_system_wrapper/system_i/acq_stop_slice_Dout,i_system_wrapper/system_i/acquisition_axis_0_xfft_tvalid1,i_system_wrapper/system_i/acquisition_axis_0_o_acq_done,i_system_wrapper/system_i/acquisition_axis_0_second_peak_valid,i_system_wrapper/system_i/acquisition_axis_0_second_peak_last,i_system_wrapper/system_i/acquisition_axis_0_max_peak[15:0],i_system_wrapper/system_i/acquisition_axis_0_max_index_done,i_system_wrapper/system_i/acquisition_axis_0_second_peak_data[31:0],i_system_wrapper/system_i/acquisition_axis_0_second_peak[31:0],i_system_wrapper/system_i/acquisition_axis_0_max_index[15:0],i_system_wrapper/system_i/acq_exclude_limit_slice_Dout[31:0],i_system_wrapper/system_i/acquisition_axis_0_xfft_index[15:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,UNSIGNED,UNSIGNED,HEX
1600,1600,0,4,00000000,0,00000,0000,1,0,0140,00000000,0,010c,1,0,0,"ST_FFT",1,1,0,ff9c0094,0,0,0,0,0,0,0,0000,0,ff9c0094,00000000,0,4,0ff0
1601,1601,0,4,00000000,0,00000,0000,1,0,0140,00000000,0,010c,1,0,0,"ST_FFT",1,1,0,ff9c0094,0,0,0,0,0,0,0,0000,0,ff9c0094,00000000,0,4,0ff0
1602,1602,0,4,00000000,0,00000,0000,1,0,0140,00000000,0,010c,1,0,0,"ST_FFT",1,1,0,ff9c0094,0,0,0,0,0,0,0,0000,0,ff9c0094,00000000,0,4,0ff0
1603,1603,0,4,00000000,0,00000,0000,1,0,0140,00000000,0,010c,1,0,0,"ST_FFT",1,1,0,ff9c0094,0,0,0,0,0,0,0,0000,0,ff9c0094,00000000,0,4,0ff0
1604,1604,0,4,00000000,0,00000,0000,1,0,0140,00000000,0,010c,1,0,0,"ST_FFT",1,1,0,ff9c0094,0,0,0,0,0,0,0,0000,0,ff9c0094,00000000,0,4,0ff0
1605,1605,0,4,00000000,0,00000,0000,1,0,0140,00000000,0,010c,1,0,0,"ST_FFT",1,1,0,ff9c0094,0,0,0,0,0,0,0,0000,0,ff9c0094,00000000,0,4,0ff0
1606,1606,0,4,00000000,0,00000,0000,1,0,0140,00000000,0,010c,1,0,0,"ST_FFT",1,1,0,ff9c0094,0,0,0,0,0,0,0,0000,0,ff9c0094,00000000,0,4,0ff0
1607,1607,0,4,00000000,0,00000,0000,1,0,0140,00000000,0,010c,1,0,0,"ST_FFT",1,1,0,ff9c0094,0,0,0,0,0,0,0,0000,0,ff9c0094,00000000,0,4,0ff0
1608,1608,0,4,00000000,0,00000,0000,1,0,0140,00000000,0,010c,1,0,0,"ST_FFT",1,1,0,ff9c0094,0,0,0,0,0,0,0,0000,0,ff9c0094,00000000,0,4,0ff0
1609,1609,0,4,00000000,0,00000,0000,1,0,0140,00000000,0,010c,1,0,0,"ST_FFT",1,1,0,ff9c0094,0,0,0,0,0,0,0,0000,0,ff9c0094,00000000,0,4,0ff0
1610,1610,0,4,00000000,0,00000,0000,1,0,0140,00000000,0,010c,1,0,0,"ST_FFT",1,1,0,ff9c0094,0,0,0,0,0,0,0,0000,0,ff9c0094,00000000,0,4,0ff0
1611,1611,0,4,00000000,0,00000,0000,1,0,0140,00000000,0,010c,1,0,0,"ST_FFT",1,1,0,ff9c0094,0,0,0,0,0,0,0,0000,0,ff9c0094,00000000,0,4,0ff0
1612,1612,0,4,00000000,0,00000,0000,1,0,0140,00000000,0,010c,1,0,0,"ST_FFT",1,1,0,ff9c0094,0,0,0,0,0,0,0,0000,0,ff9c0094,00000000,0,4,0ff0
1613,1613,0,4,00000000,0,00000,0000,1,0,0140,00000000,0,010c,1,0,0,"ST_FFT",1,1,0,ff9c0094,0,0,0,0,0,0,0,0000,0,ff9c0094,00000000,0,4,0ff0
1614,1614,0,4,00000000,0,00000,0000,1,0,0140,00000000,0,010c,1,0,0,"ST_FFT",1,1,0,ff9c0094,0,0,0,0,0,0,0,0000,0,ff9c0094,00000000,0,4,0ff0
1615,1615,0,4,00000000,0,00000,0000,1,0,0140,00000000,0,010c,1,0,0,"ST_FFT",1,1,0,ff9c0094,0,0,0,0,0,0,0,0000,0,ff9c0094,00000000,0,4,0ff0
1616,1616,0,4,00000000,0,00000,0000,1,0,0140,00000000,0,010c,1,0,0,"ST_FFT",1,1,0,ff9c0094,0,0,0,0,0,0,0,0000,0,ff9c0094,00000000,0,4,0ff0
1617,1617,0,4,00000000,0,00000,0000,1,0,0140,00000000,0,010c,1,0,0,"ST_FFT",1,1,0,ff9c0094,0,0,0,0,0,0,0,0000,0,ff9c0094,00000000,0,4,0ff0
1618,1618,0,4,00000000,0,00000,0000,1,0,0140,00000000,0,010c,1,0,0,"ST_FFT",1,1,0,ff9c0094,0,0,0,0,0,0,0,0000,0,ff9c0094,00000000,0,4,0ff0
1619,1619,0,4,00000000,0,00000,0000,1,0,0140,00000000,0,010c,1,0,0,"ST_FFT",1,1,0,ff9c0094,0,0,0,0,0,0,0,0000,0,ff9c0094,00000000,0,4,0ff0
1620,1620,0,4,00000000,0,00000,0000,1,0,0140,00000000,0,010c,1,0,0,"ST_FFT",1,1,0,ff9c0094,0,0,0,0,0,0,0,0000,0,ff9c0094,00000000,0,4,0ff0
1621,1621,0,4,00000000,0,00000,0000,1,0,0140,00000000,0,010c,1,0,0,"ST_FFT",1,1,0,ff9c0094,0,0,0,0,0,0,0,0000,0,ff9c0094,00000000,0,4,0ff0
1622,1622,0,4,00000000,0,00000,0000,1,0,0140,00000000,0,010c,1,0,0,"ST_FFT",1,1,0,ff9c0094,0,0,0,0,0,0,0,0000,0,ff9c0094,00000000,0,4,0ff0
1623,1623,0,4,00000000,0,00000,0000,1,0,0140,00000000,0,010c,1,0,0,"ST_FFT",1,1,0,ff9c0094,0,0,0,0,0,0,0,0000,0,ff9c0094,00000000,0,4,0ff0
1624,1624,0,4,00000000,0,00000,0000,1,0,0140,00000000,0,010c,1,0,0,"ST_FFT",1,1,0,ff9c0094,0,0,0,0,0,0,0,0000,0,ff9c0094,00000000,0,4,0ff0
1625,1625,0,4,00000000,0,00000,0000,1,0,0140,00000000,0,010c,1,0,0,"ST_FFT",1,1,0,ff9c0094,0,0,0,0,0,0,0,0000,0,ff9c0094,00000000,0,4,0ff0
1626,1626,0,4,00000000,0,00000,0000,1,0,0140,00000000,0,010c,1,0,0,"ST_FFT",1,1,0,ff9c0094,0,0,0,0,0,0,0,0000,0,ff9c0094,00000000,0,4,0ff0
1627,1627,0,4,00000000,0,00000,0000,1,0,0140,00000000,0,010c,1,0,0,"ST_FFT",1,1,0,ff9c0094,0,0,0,0,0,0,0,0000,0,ff9c0094,00000000,0,4,0ff0
1628,1628,0,4,00000000,0,00000,0000,1,0,0140,00000000,0,010c,1,0,0,"ST_FFT",1,1,0,ff9c0094,0,0,0,0,0,0,0,0000,0,ff9c0094,00000000,0,4,0ff0
1629,1629,0,4,00000000,0,00000,0000,1,0,0140,00000000,0,010c,1,0,0,"ST_FFT",1,1,0,ff9c0094,0,0,0,0,0,0,0,0000,0,ff9c0094,00000000,0,4,0ff0
1630,1630,0,4,00000000,0,00000,0000,1,0,0140,00000000,0,010c,1,0,0,"ST_FFT",1,1,0,ff9c0094,0,0,0,0,0,0,0,0000,0,ff9c0094,00000000,0,4,0ff0
1631,1631,0,4,00000000,0,00000,0000,1,0,0140,00000000,0,010c,1,0,0,"ST_FFT",1,1,0,ff9c0094,0,0,0,0,0,0,0,0000,0,ff9c0094,00000000,0,4,0ff0
1632,1632,0,4,00000000,0,00000,0000,1,0,0140,00000000,0,010c,1,0,0,"ST_FFT",1,1,0,ff9c0094,0,0,0,0,0,0,0,0000,0,ff9c0094,00000000,0,4,0ff0
1633,1633,0,4,00000000,0,00000,0000,1,0,0140,00000000,0,010c,1,0,0,"ST_FFT",1,1,0,ff9c0094,0,0,0,0,0,0,0,0000,0,ff9c0094,00000000,0,4,0ff0
1634,1634,0,4,00000000,0,00000,0000,1,0,0140,00000000,0,010c,1,0,0,"ST_FFT",1,1,0,ff9c0094,0,0,0,0,0,0,0,0000,0,ff9c0094,00000000,0,4,0ff0
1635,1635,0,4,00000000,0,00000,0000,1,0,0140,00000000,0,010c,1,0,0,"ST_FFT",1,1,0,ff9c0094,0,0,0,0,0,0,0,0000,0,ff9c0094,00000000,0,4,0ff0
1636,1636,0,4,00000000,0,00000,0000,1,0,0140,00000000,0,010c,1,0,0,"ST_FFT",1,1,0,ff9c0094,0,0,0,0,0,0,0,0000,0,ff9c0094,00000000,0,4,0ff0
1637,1637,0,4,00000000,0,00000,0000,1,0,0140,00000000,0,010c,1,0,0,"ST_FFT",1,1,0,ff9c0094,0,0,0,0,0,0,0,0000,0,ff9c0094,00000000,0,4,0ff0
1638,1638,0,4,00000000,0,00000,0000,1,0,0140,00000000,0,010c,1,0,0,"ST_FFT",1,1,0,ff9c0094,0,0,0,0,0,0,0,0000,0,ff9c0094,00000000,0,4,0ff0
1639,1639,0,4,00000000,0,00000,0000,1,0,0140,00000000,0,010c,1,0,0,"ST_FFT",1,1,0,ff9c0094,0,0,0,0,0,0,0,0000,0,ff9c0094,00000000,0,4,0ff0
1640,1640,0,4,00000000,0,00000,0000,1,0,0140,00000000,0,010c,1,0,0,"ST_FFT",1,1,0,ff9c0094,0,0,0,0,0,0,0,0000,0,ff9c0094,00000000,0,4,0ff0
1641,1641,0,4,00000000,0,00000,0000,1,0,0140,00000000,0,010c,1,0,0,"ST_FFT",1,1,0,ff9c0094,0,0,0,0,0,0,0,0000,0,ff9c0094,00000000,0,4,0ff0
1642,1642,0,4,00000000,0,00000,0000,1,0,0140,00000000,0,010c,1,0,0,"ST_FFT",1,1,0,ff9c0094,0,0,0,0,0,0,0,0000,0,ff9c0094,00000000,0,4,0ff0
1643,1643,0,4,00000000,0,00000,0000,1,0,0140,00000000,0,010c,1,0,0,"ST_FFT",1,1,0,ff9c0094,0,0,0,0,0,0,0,0000,0,ff9c0094,00000000,0,4,0ff0
1644,1644,0,4,00000000,0,00000,0000,1,0,0140,00000000,0,010c,1,0,0,"ST_FFT",1,1,0,ff9c0094,0,0,0,0,0,0,0,0000,0,ff9c0094,00000000,0,4,0ff0
1645,1645,0,4,00000000,0,00000,0000,1,0,0140,00000000,0,010c,1,0,0,"ST_FFT",1,1,0,ff9c0094,0,0,0,0,0,0,0,0000,0,ff9c0094,00000000,0,4,0ff0
1646,1646,0,4,00000000,0,00000,0000,1,0,0140,00000000,0,010c,1,0,0,"ST_FFT",1,1,0,ff9c0094,0,0,0,0,0,0,0,0000,0,ff9c0094,00000000,0,4,0ff0
1647,1647,0,4,00000000,0,00000,0000,1,0,0140,00000000,0,010c,1,0,0,"ST_FFT",1,1,0,ff9c0094,0,0,0,0,0,0,0,0000,0,ff9c0094,00000000,0,4,0ff0
1648,1648,0,4,00000000,0,00000,0000,1,0,0140,00000000,0,010c,1,0,0,"ST_FFT",1,1,0,ff9c0094,0,0,0,0,0,0,0,0000,0,ff9c0094,00000000,0,4,0ff0
1649,1649,0,4,00000000,0,00000,0000,1,0,0140,00000000,0,010c,1,0,0,"ST_FFT",1,1,0,ff9c0094,0,0,0,0,0,0,0,0000,0,ff9c0094,00000000,0,4,0ff0
1650,1650,0,4,00000000,0,00000,0000,1,0,0140,00000000,0,010c,1,0,0,"ST_FFT",1,1,0,ff9c0094,0,0,0,0,0,0,0,0000,0,ff9c0094,00000000,0,4,0ff0
1651,1651,0,4,00000000,0,00000,0000,1,0,0140,00000000,0,010c,1,0,0,"ST_FFT",1,1,0,ff9c0094,0,0,0,0,0,0,0,0000,0,ff9c0094,00000000,0,4,0ff0
1652,1652,0,4,00000000,0,00000,0000,1,0,0140,00000000,0,010c,1,0,0,"ST_FFT",1,1,0,ff9c0094,0,0,0,0,0,0,0,0000,0,ff9c0094,00000000,0,4,0ff0
1653,1653,0,4,00000000,0,00000,0000,1,0,0140,00000000,0,010c,1,0,0,"ST_FFT",1,1,0,ff9c0094,0,0,0,0,0,0,0,0000,0,ff9c0094,00000000,0,4,0ff0
1654,1654,0,4,00000000,0,00000,0000,1,0,0140,00000000,0,010c,1,0,0,"ST_FFT",1,1,0,ff9c0094,0,0,0,0,0,0,0,0000,0,ff9c0094,00000000,0,4,0ff0
1655,1655,0,4,00000000,0,00000,0000,1,0,0140,00000000,0,010c,1,0,0,"ST_FFT",1,1,0,ff9c0094,0,0,0,0,0,0,0,0000,0,ff9c0094,00000000,0,4,0ff0
1656,1656,0,4,00000000,0,00000,0000,1,0,0140,00000000,0,010c,1,0,0,"ST_FFT",1,1,0,ff9c0094,0,0,0,0,0,0,0,0000,0,ff9c0094,00000000,0,4,0ff0
1657,1657,0,4,00000000,0,00000,0000,1,0,0140,00000000,0,010c,1,0,0,"ST_FFT",1,1,0,ff9c0094,0,0,0,0,0,0,0,0000,0,ff9c0094,00000000,0,4,0ff0
1658,1658,0,4,00000000,0,00000,0000,1,0,0140,00000000,0,010c,1,0,0,"ST_FFT",1,1,0,ff9c0094,0,0,0,0,0,0,0,0000,0,ff9c0094,00000000,0,4,0ff0
1659,1659,0,4,00000000,0,00000,0000,1,0,0140,00000000,0,010c,1,0,0,"ST_FFT",1,1,0,ff9c0094,0,0,0,0,0,0,0,0000,0,ff9c0094,00000000,0,4,0ff0
1660,1660,0,4,00000000,0,00000,0000,1,0,0140,00000000,0,010c,1,0,0,"ST_FFT",1,1,0,ff9c0094,0,0,0,0,0,0,0,0000,0,ff9c0094,00000000,0,4,0ff0
1661,1661,0,4,00000000,0,00000,0000,1,0,0140,00000000,0,010c,1,0,0,"ST_FFT",1,1,0,ff9c0094,0,0,0,0,0,0,0,0000,0,ff9c0094,00000000,0,4,0ff0
1662,1662,0,4,00000000,0,00000,0000,1,0,0140,00000000,0,010c,1,0,0,"ST_FFT",1,1,0,ff9c0094,0,0,0,0,0,0,0,0000,0,ff9c0094,00000000,0,4,0ff0
1663,1663,0,4,00000000,0,00000,0000,1,0,0140,00000000,0,010c,1,0,0,"ST_FFT",1,1,0,ff9c0094,0,0,0,0,0,0,0,0000,0,ff9c0094,00000000,0,4,0ff0
1664,1664,0,4,00000000,0,00000,0000,1,0,0140,00000000,0,010c,1,0,0,"ST_FFT",1,1,0,ff9c0094,0,0,0,0,0,0,0,0000,0,ff9c0094,00000000,0,4,0ff0
1665,1665,0,4,00000000,0,00000,0000,1,0,0140,00000000,0,010c,1,0,0,"ST_FFT",1,1,0,ff9c0094,0,0,0,0,0,0,0,0000,0,ff9c0094,00000000,0,4,0ff0
1666,1666,0,4,00000000,0,00000,0000,1,0,0140,00000000,0,010c,1,0,0,"ST_FFT",1,1,0,ff9c0094,0,0,0,0,0,0,0,0000,0,ff9c0094,00000000,0,4,0ff0
1667,1667,0,4,00000000,0,00000,0000,1,0,0140,00000000,0,010c,1,0,0,"ST_FFT",1,1,0,ff9c0094,0,0,0,0,0,0,0,0000,0,ff9c0094,00000000,0,4,0ff0
1668,1668,0,4,00000000,0,00000,0000,1,0,0140,00000000,0,010c,1,0,0,"ST_FFT",1,1,0,ff9c0094,0,0,0,0,0,0,0,0000,0,ff9c0094,00000000,0,4,0ff0
1669,1669,0,4,00000000,0,00000,0000,1,0,0140,00000000,0,010c,1,0,0,"ST_FFT",1,1,0,ff9c0094,0,0,0,0,0,0,0,0000,0,ff9c0094,00000000,0,4,0ff0
1670,1670,0,4,00000000,0,00000,0000,1,0,0140,00000000,0,010c,1,0,0,"ST_FFT",1,1,0,ff9c0094,0,0,0,0,0,0,0,0000,0,ff9c0094,00000000,0,4,0ff0
1671,1671,0,4,00000000,0,00000,0000,1,0,0140,00000000,0,010c,1,0,0,"ST_FFT",1,1,0,ff9c0094,0,0,0,0,0,0,0,0000,0,ff9c0094,00000000,0,4,0ff0
1672,1672,0,4,00000000,0,00000,0000,1,0,0140,00000000,0,010c,1,0,0,"ST_FFT",1,1,0,ff9c0094,0,0,0,0,0,0,0,0000,0,ff9c0094,00000000,0,4,0ff0
1673,1673,0,4,00000000,0,00000,0000,1,0,0140,00000000,0,010c,1,0,0,"ST_FFT",1,1,0,ff9c0094,0,0,0,0,0,0,0,0000,0,ff9c0094,00000000,0,4,0ff0
1674,1674,0,4,00000000,0,00000,0000,1,0,0140,00000000,0,010c,1,0,0,"ST_FFT",1,1,0,ff9c0094,0,0,0,0,0,0,0,0000,0,ff9c0094,00000000,0,4,0ff0
1675,1675,0,4,00000000,0,00000,0000,1,0,0140,00000000,0,010c,1,0,0,"ST_FFT",1,1,0,ff9c0094,0,0,0,0,0,0,0,0000,0,ff9c0094,00000000,0,4,0ff0
1676,1676,0,4,00000000,0,00000,0000,1,0,0140,00000000,0,010c,1,0,0,"ST_FFT",1,1,0,ff9c0094,0,0,0,0,0,0,0,0000,0,ff9c0094,00000000,0,4,0ff0
1677,1677,0,4,00000000,0,00000,0000,1,0,0140,00000000,0,010c,1,0,0,"ST_FFT",1,1,0,ff9c0094,0,0,0,0,0,0,0,0000,0,ff9c0094,00000000,0,4,0ff0
1678,1678,0,4,00000000,0,00000,0000,1,0,0140,00000000,0,010c,1,0,0,"ST_FFT",1,1,0,ff9c0094,0,0,0,0,0,0,0,0000,0,ff9c0094,00000000,0,4,0ff0
1679,1679,0,4,00000000,0,00000,0000,1,0,0140,00000000,0,010c,1,0,0,"ST_FFT",1,1,0,ff9c0094,0,0,0,0,0,0,0,0000,0,ff9c0094,00000000,0,4,0ff0
1680,1680,0,4,00000000,0,00000,0000,1,0,0140,00000000,0,010c,1,0,0,"ST_FFT",1,1,0,ff9c0094,0,0,0,0,0,0,0,0000,0,ff9c0094,00000000,0,4,0ff0
1681,1681,0,4,00000000,0,00000,0000,1,0,0140,00000000,0,010c,1,0,0,"ST_FFT",1,1,0,ff9c0094,0,0,0,0,0,0,0,0000,0,ff9c0094,00000000,0,4,0ff0
1682,1682,0,4,00000000,0,00000,0000,1,0,0140,00000000,0,010c,1,0,0,"ST_FFT",1,1,0,ff9c0094,0,0,0,0,0,0,0,0000,0,ff9c0094,00000000,0,4,0ff0
1683,1683,0,4,00000000,0,00000,0000,1,0,0140,00000000,0,010c,1,0,0,"ST_FFT",1,1,0,ff9c0094,0,0,0,0,0,0,0,0000,0,ff9c0094,00000000,0,4,0ff0
1684,1684,0,4,00000000,0,00000,0000,1,0,0140,00000000,0,010c,1,0,0,"ST_FFT",1,1,0,ff9c0094,0,0,0,0,0,0,0,0000,0,ff9c0094,00000000,0,4,0ff0
1685,1685,0,4,00000000,0,00000,0000,1,0,0140,00000000,0,010c,1,0,0,"ST_FFT",1,1,0,ff9c0094,0,0,0,0,0,0,0,0000,0,ff9c0094,00000000,0,4,0ff0
1686,1686,0,4,00000000,0,00000,0000,1,0,0140,00000000,0,010c,1,0,0,"ST_FFT",1,1,0,ff9c0094,0,0,0,0,0,0,0,0000,0,ff9c0094,00000000,0,4,0ff0
1687,1687,0,4,00000000,0,00000,0000,1,0,0140,00000000,0,010c,1,0,0,"ST_FFT",1,1,0,ff9c0094,0,0,0,0,0,0,0,0000,0,ff9c0094,00000000,0,4,0ff0
1688,1688,0,4,00000000,0,00000,0000,1,0,0140,00000000,0,010c,1,0,0,"ST_FFT",1,1,0,ff9c0094,0,0,0,0,0,0,0,0000,0,ff9c0094,00000000,0,4,0ff0
1689,1689,0,4,00000000,0,00000,0000,1,0,0140,00000000,0,010c,1,0,0,"ST_FFT",1,1,0,ff9c0094,0,0,0,0,0,0,0,0000,0,ff9c0094,00000000,0,4,0ff0
1690,1690,0,4,00000000,0,00000,0000,1,0,0140,00000000,0,010c,1,0,0,"ST_FFT",1,1,0,ff9c0094,0,0,0,0,0,0,0,0000,0,ff9c0094,00000000,0,4,0ff0
1691,1691,0,4,00000000,0,00000,0000,1,0,0140,00000000,0,010c,1,0,0,"ST_FFT",1,1,0,ff9c0094,0,0,0,0,0,0,0,0000,0,ff9c0094,00000000,0,4,0ff0
1692,1692,0,4,00000000,0,00000,0000,1,0,0140,00000000,0,010c,1,0,0,"ST_FFT",1,1,0,ff9c0094,0,0,0,0,0,0,0,0000,0,ff9c0094,00000000,0,4,0ff0
1693,1693,0,4,00000000,0,00000,0000,1,0,0140,00000000,0,010c,1,0,0,"ST_FFT",1,1,0,ff9c0094,0,0,0,0,0,0,0,0000,0,ff9c0094,00000000,0,4,0ff0
1694,1694,0,4,00000000,0,00000,0000,1,0,0140,00000000,0,010c,1,0,0,"ST_FFT",1,1,0,ff9c0094,0,0,0,0,0,0,0,0000,0,ff9c0094,00000000,0,4,0ff0
1695,1695,0,4,00000000,0,00000,0000,1,0,0140,00000000,0,010c,1,0,0,"ST_FFT",1,1,0,ff9c0094,0,0,0,0,0,0,0,0000,0,ff9c0094,00000000,0,4,0ff0
1696,1696,0,4,00000000,0,00000,0000,1,0,0140,00000000,0,010c,1,0,0,"ST_FFT",1,1,0,ff9c0094,0,0,0,0,0,0,0,0000,0,ff9c0094,00000000,0,4,0ff0
1697,1697,0,4,00000000,0,00000,0000,1,0,0140,00000000,0,010c,1,0,0,"ST_FFT",1,1,0,ff9c0094,0,0,0,0,0,0,0,0000,0,ff9c0094,00000000,0,4,0ff0
1698,1698,0,4,00000000,0,00000,0000,1,0,0140,00000000,0,010c,1,0,0,"ST_FFT",1,1,0,ff9c0094,0,0,0,0,0,0,0,0000,0,ff9c0094,00000000,0,4,0ff0
1699,1699,0,4,00000000,0,00000,0000,1,0,0140,00000000,0,010c,1,0,0,"ST_FFT",1,1,0,ff9c0094,0,0,0,0,0,0,0,0000,0,ff9c0094,00000000,0,4,0ff0
1700,1700,0,4,00000000,0,00000,0000,1,0,0140,00000000,0,010c,1,0,0,"ST_FFT",1,1,0,ff9c0094,0,0,0,0,0,0,0,0000,0,ff9c0094,00000000,0,4,0ff0
1701,1701,0,4,00000000,0,00000,0000,1,0,0140,00000000,0,010c,1,0,0,"ST_FFT",1,1,0,ff9c0094,0,0,0,0,0,0,0,0000,0,ff9c0094,00000000,0,4,0ff0
1702,1702,0,4,00000000,0,00000,0000,1,0,0140,00000000,0,010c,1,0,0,"ST_FFT",1,1,0,ff9c0094,0,0,0,0,0,0,0,0000,0,ff9c0094,00000000,0,4,0ff0
1703,1703,0,4,00000000,0,00000,0000,1,0,0140,00000000,0,010c,1,0,0,"ST_FFT",1,1,0,ff9c0094,0,0,0,0,0,0,0,0000,0,ff9c0094,00000000,0,4,0ff0
1704,1704,0,4,00000000,0,00000,0000,1,0,0140,00000000,0,010c,1,0,0,"ST_FFT",1,1,0,ff9c0094,0,0,0,0,0,0,0,0000,0,ff9c0094,00000000,0,4,0ff0
1705,1705,0,4,00000000,0,00000,0000,1,0,0140,00000000,0,010c,1,0,0,"ST_FFT",1,1,0,ff9c0094,0,0,0,0,0,0,0,0000,0,ff9c0094,00000000,0,4,0ff0
1706,1706,0,4,00000000,0,00000,0000,1,0,0140,00000000,0,010c,1,0,0,"ST_FFT",1,1,0,ff9c0094,0,0,0,0,0,0,0,0000,0,ff9c0094,00000000,0,4,0ff0
1707,1707,0,4,00000000,0,00000,0000,1,0,0140,00000000,0,010c,1,0,0,"ST_FFT",1,1,0,ff9c0094,0,0,0,0,0,0,0,0000,0,ff9c0094,00000000,0,4,0ff0
1708,1708,0,4,00000000,0,00000,0000,1,0,0140,00000000,0,010c,1,0,0,"ST_FFT",1,1,0,ff9c0094,0,0,0,0,0,0,0,0000,0,ff9c0094,00000000,0,4,0ff0
1709,1709,0,4,00000000,0,00000,0000,1,0,0140,00000000,0,010c,1,0,0,"ST_FFT",1,1,0,ff9c0094,0,0,0,0,0,0,0,0000,0,ff9c0094,00000000,0,4,0ff0
1710,1710,0,4,00000000,0,00000,0000,1,0,0140,00000000,0,010c,1,0,0,"ST_FFT",1,1,0,ff9c0094,0,0,0,0,0,0,0,0000,0,ff9c0094,00000000,0,4,0ff0
1711,1711,0,4,00000000,0,00000,0000,1,0,0140,00000000,0,010c,1,0,0,"ST_FFT",1,1,0,ff9c0094,0,0,0,0,0,0,0,0000,0,ff9c0094,00000000,0,4,0ff0
1712,1712,0,4,00000000,0,00000,0000,1,0,0140,00000000,0,010c,1,0,0,"ST_FFT",1,1,0,ff9c0094,0,0,0,0,0,0,0,0000,0,ff9c0094,00000000,0,4,0ff0
1713,1713,0,4,00000000,0,00000,0000,1,0,0140,00000000,0,010c,1,0,0,"ST_FFT",1,1,0,ff9c0094,0,0,0,0,0,0,0,0000,0,ff9c0094,00000000,0,4,0ff0
1714,1714,0,4,00000000,0,00000,0000,1,0,0140,00000000,0,010c,1,0,0,"ST_FFT",1,1,0,ff9c0094,0,0,0,0,0,0,0,0000,0,ff9c0094,00000000,0,4,0ff0
1715,1715,0,4,00000000,0,00000,0000,1,0,0140,00000000,0,010c,1,0,0,"ST_FFT",1,1,0,ff9c0094,0,0,0,0,0,0,0,0000,0,ff9c0094,00000000,0,4,0ff0
1716,1716,0,4,00000000,0,00000,0000,1,0,0140,00000000,0,010c,1,0,0,"ST_FFT",1,1,0,ff9c0094,0,0,0,0,0,0,0,0000,0,ff9c0094,00000000,0,4,0ff0
1717,1717,0,4,00000000,0,00000,0000,1,0,0140,00000000,0,010c,1,0,0,"ST_FFT",1,1,0,ff9c0094,0,0,0,0,0,0,0,0000,0,ff9c0094,00000000,0,4,0ff0
1718,1718,0,4,00000000,0,00000,0000,1,0,0140,00000000,0,010c,1,0,0,"ST_FFT",1,1,0,ff9c0094,0,0,0,0,0,0,0,0000,0,ff9c0094,00000000,0,4,0ff0
1719,1719,0,4,00000000,0,00000,0000,1,0,0140,00000000,0,010c,1,0,0,"ST_FFT",1,1,0,ff9c0094,0,0,0,0,0,0,0,0000,0,ff9c0094,00000000,0,4,0ff0
1720,1720,0,4,00000000,0,00000,0000,1,0,0140,00000000,0,010c,1,0,0,"ST_FFT",1,1,0,ff9c0094,0,0,0,0,0,0,0,0000,0,ff9c0094,00000000,0,4,0ff0
1721,1721,0,4,00000000,0,00000,0000,1,0,0140,00000000,0,010c,1,0,0,"ST_FFT",1,1,0,ff9c0094,0,0,0,0,0,0,0,0000,0,ff9c0094,00000000,0,4,0ff0
