Sample in Buffer,Sample in Window,TRIGGER,i_system_wrapper/system_i/acq_data_fifo_m_axis_tvalid,i_system_wrapper/system_i/acq_l1_data_slice_Dout[15:0],i_system_wrapper/system_i/acq_l5_data_slice_Dout[15:0],i_system_wrapper/system_i/trk_data_fifo_m_axis_tdata[31:0],i_system_wrapper/system_i/trk_data_fifo_m_axis_tvalid
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX
0,0,0,0,f9f8,ffff,00020d0f,1
1,1,0,0,f9f8,ffff,00020d0f,0
2,2,0,0,f9f8,ffff,00020d0f,0
3,3,0,0,f9f8,ffff,00020d0f,0
4,4,0,0,f9f8,ffff,00020d0f,0
5,5,0,0,f9f8,ffff,02ff0b14,1
6,6,0,0,f9f8,ffff,02ff0b14,0
7,7,0,0,f9f8,ffff,02ff0b14,0
8,8,0,0,f9f8,ffff,02ff0b14,0
9,9,0,0,f9f8,ffff,00010e11,1
10,10,0,0,f9f8,ffff,00010e11,0
11,11,0,0,f9f8,ffff,00010e11,0
12,12,0,0,f9f8,ffff,00010e11,0
13,13,0,0,f9f8,ffff,00010e11,0
14,14,0,0,f9f8,ffff,05ff0f11,1
15,15,0,0,f9f8,ffff,05ff0f11,0
16,16,0,0,f9f8,ffff,05ff0f11,0
17,17,0,0,f9f8,ffff,05ff0f11,0
18,18,0,0,f9f8,ffff,fefe0b11,1
19,19,0,0,f9f8,ffff,fefe0b11,0
20,20,0,0,f9f8,ffff,fefe0b11,0
21,21,0,0,f9f8,ffff,fefe0b11,0
22,22,0,0,f9f8,ffff,fefe0b11,0
23,23,0,0,f9f8,ffff,00000e14,1
24,24,0,0,f9f8,ffff,00000e14,0
25,25,0,0,f9f8,ffff,00000e14,0
26,26,0,0,f9f8,ffff,00000e14,0
27,27,0,0,f9f8,ffff,00000e14,0
28,28,0,0,f9f8,ffff,fffe0c12,1
29,29,0,0,f9f8,ffff,fffe0c12,0
30,30,0,0,f9f8,ffff,fffe0c12,0
31,31,0,0,f9f8,ffff,fffe0c12,0
32,32,0,0,f9f8,ffff,01010912,1
33,33,0,0,f9f8,ffff,01010912,0
34,34,0,0,f9f8,ffff,01010912,0
35,35,0,0,f9f8,ffff,01010912,0
36,36,0,0,f9f8,ffff,01010912,0
37,37,0,1,f8f6,ffff,00020c10,1
38,38,0,0,f8f6,ffff,00020c10,0
39,39,0,0,f8f6,ffff,00020c10,0
40,40,0,0,f8f6,ffff,00020c10,0
41,41,0,0,f8f6,ffff,ff000c17,1
42,42,0,0,f8f6,ffff,ff000c17,0
43,43,0,0,f8f6,ffff,ff000c17,0
44,44,0,0,f8f6,ffff,ff000c17,0
45,45,0,0,f8f6,ffff,ff000c17,0
46,46,0,0,f8f6,ffff,00fe0e14,1
47,47,0,0,f8f6,ffff,00fe0e14,0
48,48,0,0,f8f6,ffff,00fe0e14,0
49,49,0,0,f8f6,ffff,00fe0e14,0
50,50,0,0,f8f6,ffff,02ff0f15,1
51,51,0,0,f8f6,ffff,02ff0f15,0
52,52,0,0,f8f6,ffff,02ff0f15,0
53,53,0,0,f8f6,ffff,02ff0f15,0
54,54,0,0,f8f6,ffff,02ff0f15,0
55,55,0,0,f8f6,ffff,02ff0d0d,1
56,56,0,0,f8f6,ffff,02ff0d0d,0
57,57,0,0,f8f6,ffff,02ff0d0d,0
58,58,0,0,f8f6,ffff,02ff0d0d,0
59,59,0,0,f8f6,ffff,02ff0d0d,0
60,60,0,0,f8f6,ffff,02040c13,1
61,61,0,0,f8f6,ffff,02040c13,0
62,62,0,0,f8f6,ffff,02040c13,0
63,63,0,0,f8f6,ffff,02040c13,0
64,64,0,0,f8f6,ffff,00fd0d10,1
65,65,0,0,f8f6,ffff,00fd0d10,0
66,66,0,0,f8f6,ffff,00fd0d10,0
67,67,0,0,f8f6,ffff,00fd0d10,0
68,68,0,0,f8f6,ffff,00fd0d10,0
69,69,0,0,f8f6,ffff,ff010b16,1
70,70,0,0,f8f6,ffff,ff010b16,0
71,71,0,0,f8f6,ffff,ff010b16,0
72,72,0,0,f8f6,ffff,ff010b16,0
73,73,0,0,f8f6,ffff,ffff0b11,1
74,74,0,0,f8f6,ffff,ffff0b11,0
75,75,0,0,f8f6,ffff,ffff0b11,0
76,76,0,0,f8f6,ffff,ffff0b11,0
77,77,0,0,f8f6,ffff,ffff0b11,0
78,78,0,0,f8f6,ffff,02000f16,1
79,79,0,0,f8f6,ffff,02000f16,0
80,80,0,0,f8f6,ffff,02000f16,0
81,81,0,0,f8f6,ffff,02000f16,0
82,82,0,0,f8f6,ffff,0102fdf9,1
83,83,0,0,f8f6,ffff,0102fdf9,0
84,84,0,0,f8f6,ffff,0102fdf9,0
85,85,0,0,f8f6,ffff,0102fdf9,0
86,86,0,0,f8f6,ffff,0102fdf9,0
87,87,0,0,f8f6,ffff,fe03f1ec,1
88,88,0,0,f8f6,ffff,fe03f1ec,0
89,89,0,0,f8f6,ffff,fe03f1ec,0
90,90,0,0,f8f6,ffff,fe03f1ec,0
91,91,0,0,f8f6,ffff,fe03f1ec,0
92,92,0,0,f8f6,ffff,02fdf1ed,1
93,93,0,0,f8f6,ffff,02fdf1ed,0
94,94,0,0,f8f6,ffff,02fdf1ed,0
95,95,0,0,f8f6,ffff,02fdf1ed,0
96,96,0,0,f8f6,ffff,0000f3ea,1
97,97,0,0,f8f6,ffff,0000f3ea,0
98,98,0,0,f8f6,ffff,0000f3ea,0
99,99,0,0,f8f6,ffff,0000f3ea,0
100,100,0,0,f8f6,ffff,0000f3ea,0
101,101,0,0,f8f6,ffff,ff02f2e9,1
102,102,0,0,f8f6,ffff,ff02f2e9,0
103,103,0,0,f8f6,ffff,ff02f2e9,0
104,104,0,0,f8f6,ffff,ff02f2e9,0
105,105,0,0,f8f6,ffff,fdfef2ec,1
106,106,0,0,f8f6,ffff,fdfef2ec,0
107,107,0,0,f8f6,ffff,fdfef2ec,0
108,108,0,0,f8f6,ffff,fdfef2ec,0
109,109,0,0,f8f6,ffff,fdfef2ec,0
110,110,0,0,f8f6,ffff,0000edeb,1
111,111,0,0,f8f6,ffff,0000edeb,0
112,112,0,0,f8f6,ffff,0000edeb,0
113,113,0,0,f8f6,ffff,0000edeb,0
114,114,0,0,f8f6,ffff,fefdf3ed,1
115,115,0,0,f8f6,ffff,fefdf3ed,0
116,116,0,0,f8f6,ffff,fefdf3ed,0
117,117,0,0,f8f6,ffff,fefdf3ed,0
118,118,0,0,f8f6,ffff,fefdf3ed,0
119,119,0,0,f8f6,ffff,0101f5ea,1
120,120,0,0,f8f6,ffff,0101f5ea,0
121,121,0,0,f8f6,ffff,0101f5ea,0
122,122,0,0,f8f6,ffff,0101f5ea,0
123,123,0,0,f8f6,ffff,0101f5ea,0
124,124,0,0,f8f6,ffff,fd00f1ee,1
125,125,0,0,f8f6,ffff,fd00f1ee,0
126,126,0,0,f8f6,ffff,fd00f1ee,0
127,127,0,0,f8f6,ffff,fd00f1ee,0
128,128,0,1,f8f6,ffff,00fff4eb,1
129,129,0,0,f8f6,ffff,00fff4eb,0
130,130,0,0,f8f6,ffff,00fff4eb,0
131,131,0,0,f8f6,ffff,00fff4eb,0
132,132,0,0,f8f6,ffff,00fff4eb,0
133,133,0,0,f8f6,ffff,0101f3ed,1
134,134,0,0,f8f6,ffff,0101f3ed,0
135,135,0,0,f8f6,ffff,0101f3ed,0
136,136,0,0,f8f6,ffff,0101f3ed,0
137,137,0,0,f8f6,ffff,0000f2ec,1
138,138,0,0,f8f6,ffff,0000f2ec,0
139,139,0,0,f8f6,ffff,0000f2ec,0
140,140,0,0,f8f6,ffff,0000f2ec,0
141,141,0,0,f8f6,ffff,0000f2ec,0
142,142,0,0,f8f6,ffff,0200f5f0,1
143,143,0,0,f8f6,ffff,0200f5f0,0
144,144,0,0,f8f6,ffff,0200f5f0,0
145,145,0,0,f8f6,ffff,0200f5f0,0
146,146,0,0,f8f6,ffff,01fef3e9,1
147,147,0,0,f8f6,ffff,01fef3e9,0
148,148,0,0,f8f6,ffff,01fef3e9,0
149,149,0,0,f8f6,ffff,01fef3e9,0
150,150,0,0,f8f6,ffff,01fef3e9,0
151,151,0,0,f8f6,ffff,ff01f3ed,1
152,152,0,0,f8f6,ffff,ff01f3ed,0
153,153,0,0,f8f6,ffff,ff01f3ed,0
154,154,0,0,f8f6,ffff,ff01f3ed,0
155,155,0,0,f8f6,ffff,ff01f3ed,0
156,156,0,0,f8f6,ffff,fffef4ea,1
157,157,0,0,f8f6,ffff,fffef4ea,0
158,158,0,0,f8f6,ffff,fffef4ea,0
159,159,0,0,f8f6,ffff,fffef4ea,0
160,160,0,0,f8f6,ffff,0101f1ed,1
161,161,0,0,f8f6,ffff,0101f1ed,0
162,162,0,0,f8f6,ffff,0101f1ed,0
163,163,0,0,f8f6,ffff,0101f1ed,0
164,164,0,0,f8f6,ffff,0101f1ed,0
165,165,0,0,f8f6,ffff,0200f1ec,1
166,166,0,0,f8f6,ffff,0200f1ec,0
167,167,0,0,f8f6,ffff,0200f1ec,0
168,168,0,0,f8f6,ffff,0200f1ec,0
169,169,0,0,f8f6,ffff,fe02f2ec,1
170,170,0,0,f8f6,ffff,fe02f2ec,0
171,171,0,0,f8f6,ffff,fe02f2ec,0
172,172,0,0,f8f6,ffff,fe02f2ec,0
173,173,0,0,f8f6,ffff,fe02f2ec,0
174,174,0,0,f8f6,ffff,ff01f1ee,1
175,175,0,0,f8f6,ffff,ff01f1ee,0
176,176,0,0,f8f6,ffff,ff01f1ee,0
177,177,0,0,f8f6,ffff,ff01f1ee,0
178,178,0,0,f8f6,ffff,ff01f1ee,0
179,179,0,0,f8f6,ffff,ff02f1ee,1
180,180,0,0,f8f6,ffff,ff02f1ee,0
181,181,0,0,f8f6,ffff,ff02f1ee,0
182,182,0,0,f8f6,ffff,ff02f1ee,0
183,183,0,0,f8f6,ffff,01fff3e9,1
184,184,0,0,f8f6,ffff,01fff3e9,0
185,185,0,0,f8f6,ffff,01fff3e9,0
186,186,0,0,f8f6,ffff,01fff3e9,0
187,187,0,0,f8f6,ffff,01fff3e9,0
188,188,0,0,f8f6,ffff,0202f4ef,1
189,189,0,0,f8f6,ffff,0202f4ef,0
190,190,0,0,f8f6,ffff,0202f4ef,0
191,191,0,0,f8f6,ffff,0202f4ef,0
192,192,0,0,f8f6,ffff,0100f4e8,1
193,193,0,0,f8f6,ffff,0100f4e8,0
194,194,0,0,f8f6,ffff,0100f4e8,0
