Sample in Buffer,Sample in Window,TRIGGER,i_system_wrapper/system_i/acquisition_axis_0_st_fft_curr[2:0],i_system_wrapper/system_i/acquisition_axis_0_event_frame_started,i_system_wrapper/system_i/acquisition_axis_0_st_fft_next[2:0],i_system_wrapper/system_i/acquisition_axis_0_st_xfft_curr,i_system_wrapper/system_i/acquisition_axis_0_st_xfft_next,i_system_wrapper/system_i/acquisition_axis_0_st_curr[3:0],i_system_wrapper/system_i/acquisition_axis_0_xfft_cntr[16:0],i_system_wrapper/system_i/acquisition_axis_0_config_xfft_valid,i_system_wrapper/system_i/acquisition_axis_0_switch_position,i_system_wrapper/system_i/acquisition_axis_0_config_xfft_data[15:0],i_system_wrapper/system_i/acquisition_axis_0_xfft_data_out_tvalid,i_system_wrapper/system_i/acquisition_axis_0_xfft_data_out_tlast,i_system_wrapper/system_i/acquisition_axis_0_xfft_tvalid1,i_system_wrapper/system_i/acquisition_axis_0_second_peak_data[31:0],i_system_wrapper/system_i/acquisition_axis_0_max_peak[15:0],i_system_wrapper/system_i/acquisition_axis_0_max_index[15:0],i_system_wrapper/system_i/acquisition_axis_0_second_peak[31:0],i_system_wrapper/system_i/acquisition_axis_0_max_index_done,i_system_wrapper/system_i/acquisition_axis_0_second_peak_valid,i_system_wrapper/system_i/acquisition_axis_0_second_peak_last,i_system_wrapper/system_i/acquisition_axis_0_xfft_index[15:0],i_system_wrapper/system_i/acquisition_axis_0_xfft_data_out_tdata[31:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,UNSIGNED
0,0,0,3,0,"ST_IFFT",1,1,3,01000,1,0,000c,0,0,0,4022474071,0,0,00000000,0,0,0,0ff0,4022474071
1,1,0,3,0,"ST_IFFT",1,1,3,01000,1,0,000c,0,0,0,4022474071,0,0,00000000,0,0,0,0ff0,4022474071
2,2,0,3,0,"ST_IFFT",1,1,3,01000,1,0,000c,0,0,0,4022474071,0,0,00000000,0,0,0,0ff0,4022474071
3,3,0,3,0,"ST_IFFT",1,1,3,01000,1,0,000c,0,0,0,4022474071,0,0,00000000,0,0,0,0ff0,4022474071
4,4,0,3,0,"ST_IFFT",1,1,3,01000,1,0,000c,0,0,0,4022474071,0,0,00000000,0,0,0,0ff0,4022474071
5,5,0,3,0,"ST_IFFT",1,1,3,01000,1,0,000c,0,0,0,4022474071,0,0,00000000,0,0,0,0ff0,4022474071
6,6,0,3,0,"ST_IFFT",1,1,3,01000,1,0,000c,0,0,0,4022474071,0,0,00000000,0,0,0,0ff0,4022474071
7,7,0,3,0,"ST_IFFT",1,1,3,01000,1,0,000c,0,0,0,4022474071,0,0,00000000,0,0,0,0ff0,4022474071
8,8,0,3,0,"ST_IFFT",1,1,3,01000,1,0,000c,0,0,0,4022474071,0,0,00000000,0,0,0,0ff0,4022474071
9,9,0,3,0,"ST_IFFT",1,1,3,01000,1,0,000c,0,0,0,4022474071,0,0,00000000,0,0,0,0ff0,4022474071
10,10,0,3,0,"ST_IFFT",1,1,3,01000,1,0,000c,0,0,0,4022474071,0,0,00000000,0,0,0,0ff0,4022474071
11,11,0,3,0,"ST_IFFT",1,1,3,01000,1,0,000c,0,0,0,4022474071,0,0,00000000,0,0,0,0ff0,4022474071
12,12,0,3,0,"ST_IFFT",1,1,3,01000,1,0,000c,0,0,0,4022474071,0,0,00000000,0,0,0,0ff0,4022474071
13,13,0,3,0,"ST_IFFT",1,1,3,01000,1,0,000c,0,0,0,4022474071,0,0,00000000,0,0,0,0ff0,4022474071
14,14,0,3,0,"ST_IFFT",1,1,3,01000,1,0,000c,0,0,0,4022474071,0,0,00000000,0,0,0,0ff0,4022474071
15,15,0,3,0,"ST_IFFT",1,1,3,01000,1,0,000c,0,0,0,4022474071,0,0,00000000,0,0,0,0ff0,4022474071
16,16,0,3,0,"ST_IFFT",1,1,3,01000,1,0,000c,0,0,0,4022474071,0,0,00000000,0,0,0,0ff0,4022474071
17,17,0,3,0,"ST_IFFT",1,1,3,01000,1,0,000c,0,0,0,4022474071,0,0,00000000,0,0,0,0ff0,4022474071
18,18,0,3,0,"ST_IFFT",1,1,3,01000,1,0,000c,0,0,0,4022474071,0,0,00000000,0,0,0,0ff0,4022474071
19,19,0,3,0,"ST_IFFT",1,1,3,01000,1,0,000c,0,0,0,4022474071,0,0,00000000,0,0,0,0ff0,4022474071
20,20,0,3,0,"ST_IFFT",1,1,3,01000,1,0,000c,0,0,0,4022474071,0,0,00000000,0,0,0,0ff0,4022474071
21,21,0,3,0,"ST_IFFT",1,1,3,01000,1,0,000c,0,0,0,4022474071,0,0,00000000,0,0,0,0ff0,4022474071
22,22,0,3,0,"ST_IFFT",1,1,3,01000,1,0,000c,0,0,0,4022474071,0,0,00000000,0,0,0,0ff0,4022474071
23,23,0,3,0,"ST_IFFT",1,1,3,01000,1,0,000c,0,0,0,4022474071,0,0,00000000,0,0,0,0ff0,4022474071
24,24,0,3,0,"ST_IFFT",1,1,3,01000,1,0,000c,0,0,0,4022474071,0,0,00000000,0,0,0,0ff0,4022474071
25,25,0,3,0,"ST_IFFT",1,1,3,01000,1,0,000c,0,0,0,4022474071,0,0,00000000,0,0,0,0ff0,4022474071
26,26,0,3,0,"ST_IFFT",1,1,3,01000,1,0,000c,0,0,0,4022474071,0,0,00000000,0,0,0,0ff0,4022474071
27,27,0,3,0,"ST_IFFT",1,1,3,01000,1,0,000c,0,0,0,4022474071,0,0,00000000,0,0,0,0ff0,4022474071
28,28,0,3,0,"ST_IFFT",1,1,3,01000,1,0,000c,0,0,0,4022474071,0,0,00000000,0,0,0,0ff0,4022474071
29,29,0,3,0,"ST_IFFT",1,1,3,01000,1,0,000c,0,0,0,4022474071,0,0,00000000,0,0,0,0ff0,4022474071
30,30,0,3,0,"ST_IFFT",1,1,3,01000,1,0,000c,0,0,0,4022474071,0,0,00000000,0,0,0,0ff0,4022474071
31,31,0,3,0,"ST_IFFT",1,1,3,01000,1,0,000c,0,0,0,4022474071,0,0,00000000,0,0,0,0ff0,4022474071
32,32,0,3,0,"ST_IFFT",1,1,3,01000,1,0,000c,0,0,0,4022474071,0,0,00000000,0,0,0,0ff0,4022474071
33,33,0,3,0,"ST_IFFT",1,1,3,01000,1,0,000c,0,0,0,4022474071,0,0,00000000,0,0,0,0ff0,4022474071
34,34,0,3,0,"ST_IFFT",1,1,3,01000,1,0,000c,0,0,0,4022474071,0,0,00000000,0,0,0,0ff0,4022474071
35,35,0,3,0,"ST_IFFT",1,1,3,01000,1,0,000c,0,0,0,4022474071,0,0,00000000,0,0,0,0ff0,4022474071
36,36,0,3,0,"ST_IFFT",1,1,3,01000,1,0,000c,0,0,0,4022474071,0,0,00000000,0,0,0,0ff0,4022474071
37,37,0,3,0,"ST_IFFT",1,1,3,01000,1,0,000c,0,0,0,4022474071,0,0,00000000,0,0,0,0ff0,4022474071
38,38,0,3,0,"ST_IFFT",1,1,3,01000,1,0,000c,0,0,0,4022474071,0,0,00000000,0,0,0,0ff0,4022474071
39,39,0,3,0,"ST_IFFT",1,1,3,01000,1,0,000c,0,0,0,4022474071,0,0,00000000,0,0,0,0ff0,4022474071
40,40,0,3,0,"ST_IFFT",1,1,3,01000,1,0,000c,0,0,0,4022474071,0,0,00000000,0,0,0,0ff0,4022474071
41,41,0,3,0,"ST_IFFT",1,1,3,01000,1,0,000c,0,0,0,4022474071,0,0,00000000,0,0,0,0ff0,4022474071
42,42,0,3,0,"ST_IFFT",1,1,3,01000,1,0,000c,0,0,0,4022474071,0,0,00000000,0,0,0,0ff0,4022474071
43,43,0,3,0,"ST_IFFT",1,1,3,01000,1,0,000c,0,0,0,4022474071,0,0,00000000,0,0,0,0ff0,4022474071
44,44,0,3,0,"ST_IFFT",1,1,3,01000,1,0,000c,0,0,0,4022474071,0,0,00000000,0,0,0,0ff0,4022474071
45,45,0,3,0,"ST_IFFT",1,1,3,01000,1,0,000c,0,0,0,4022474071,0,0,00000000,0,0,0,0ff0,4022474071
46,46,0,3,0,"ST_IFFT",1,1,3,01000,1,0,000c,0,0,0,4022474071,0,0,00000000,0,0,0,0ff0,4022474071
47,47,0,3,0,"ST_IFFT",1,1,3,01000,1,0,000c,0,0,0,4022474071,0,0,00000000,0,0,0,0ff0,4022474071
48,48,0,3,0,"ST_IFFT",1,1,3,01000,1,0,000c,0,0,0,4022474071,0,0,00000000,0,0,0,0ff0,4022474071
49,49,0,3,0,"ST_IFFT",1,1,3,01000,1,0,000c,0,0,0,4022474071,0,0,00000000,0,0,0,0ff0,4022474071
50,50,0,3,0,"ST_IFFT",1,1,3,01000,1,0,000c,0,0,0,4022474071,0,0,00000000,0,0,0,0ff0,4022474071
51,51,0,3,0,"ST_IFFT",1,1,3,01000,1,0,000c,0,0,0,4022474071,0,0,00000000,0,0,0,0ff0,4022474071
52,52,0,3,0,"ST_IFFT",1,1,3,01000,1,0,000c,0,0,0,4022474071,0,0,00000000,0,0,0,0ff0,4022474071
53,53,0,3,0,"ST_IFFT",1,1,3,01000,1,0,000c,0,0,0,4022474071,0,0,00000000,0,0,0,0ff0,4022474071
54,54,0,3,0,"ST_IFFT",1,1,3,01000,1,0,000c,0,0,0,4022474071,0,0,00000000,0,0,0,0ff0,4022474071
55,55,0,3,0,"ST_IFFT",1,1,3,01000,1,0,000c,0,0,0,4022474071,0,0,00000000,0,0,0,0ff0,4022474071
56,56,0,3,0,"ST_IFFT",1,1,3,01000,1,0,000c,0,0,0,4022474071,0,0,00000000,0,0,0,0ff0,4022474071
57,57,0,3,0,"ST_IFFT",1,1,3,01000,1,0,000c,0,0,0,4022474071,0,0,00000000,0,0,0,0ff0,4022474071
58,58,0,3,0,"ST_IFFT",1,1,3,01000,1,0,000c,0,0,0,4022474071,0,0,00000000,0,0,0,0ff0,4022474071
59,59,0,3,0,"ST_IFFT",1,1,3,01000,1,0,000c,0,0,0,4022474071,0,0,00000000,0,0,0,0ff0,4022474071
60,60,0,3,0,"ST_IFFT",1,1,3,01000,1,0,000c,0,0,0,4022474071,0,0,00000000,0,0,0,0ff0,4022474071
61,61,0,3,0,"ST_IFFT",1,1,3,01000,1,0,000c,0,0,0,4022474071,0,0,00000000,0,0,0,0ff0,4022474071
62,62,0,3,0,"ST_IFFT",1,1,3,01000,1,0,000c,0,0,0,4022474071,0,0,00000000,0,0,0,0ff0,4022474071
63,63,0,3,0,"ST_IFFT",1,1,3,01000,1,0,000c,0,0,0,4022474071,0,0,00000000,0,0,0,0ff0,4022474071
64,64,0,3,0,"ST_IFFT",1,1,3,01000,1,0,000c,0,0,0,4022474071,0,0,00000000,0,0,0,0ff0,4022474071
65,65,0,3,0,"ST_IFFT",1,1,3,01000,1,0,000c,0,0,0,4022474071,0,0,00000000,0,0,0,0ff0,4022474071
66,66,0,3,0,"ST_IFFT",1,1,3,01000,1,0,000c,0,0,0,4022474071,0,0,00000000,0,0,0,0ff0,4022474071
67,67,0,3,0,"ST_IFFT",1,1,3,01000,1,0,000c,0,0,0,4022474071,0,0,00000000,0,0,0,0ff0,4022474071
68,68,0,3,0,"ST_IFFT",1,1,3,01000,1,0,000c,0,0,0,4022474071,0,0,00000000,0,0,0,0ff0,4022474071
69,69,0,3,0,"ST_IFFT",1,1,3,01000,1,0,000c,0,0,0,4022474071,0,0,00000000,0,0,0,0ff0,4022474071
70,70,0,3,0,"ST_IFFT",1,1,3,01000,1,0,000c,0,0,0,4022474071,0,0,00000000,0,0,0,0ff0,4022474071
71,71,0,3,0,"ST_IFFT",1,1,3,01000,1,0,000c,0,0,0,4022474071,0,0,00000000,0,0,0,0ff0,4022474071
72,72,0,3,0,"ST_IFFT",1,1,3,01000,1,0,000c,0,0,0,4022474071,0,0,00000000,0,0,0,0ff0,4022474071
73,73,0,3,0,"ST_IFFT",1,1,3,01000,1,0,000c,0,0,0,4022474071,0,0,00000000,0,0,0,0ff0,4022474071
74,74,0,3,0,"ST_IFFT",1,1,3,01000,1,0,000c,0,0,0,4022474071,0,0,00000000,0,0,0,0ff0,4022474071
75,75,0,3,0,"ST_IFFT",1,1,3,01000,1,0,000c,0,0,0,4022474071,0,0,00000000,0,0,0,0ff0,4022474071
76,76,0,3,0,"ST_IFFT",1,1,3,01000,1,0,000c,0,0,0,4022474071,0,0,00000000,0,0,0,0ff0,4022474071
77,77,0,3,0,"ST_IFFT",1,1,3,01000,1,0,000c,0,0,0,4022474071,0,0,00000000,0,0,0,0ff0,4022474071
78,78,0,3,0,"ST_IFFT",1,1,3,01000,1,0,000c,0,0,0,4022474071,0,0,00000000,0,0,0,0ff0,4022474071
79,79,0,3,0,"ST_IFFT",1,1,3,01000,1,0,000c,0,0,0,4022474071,0,0,00000000,0,0,0,0ff0,4022474071
80,80,0,3,0,"ST_IFFT",1,1,3,01000,1,0,000c,0,0,0,4022474071,0,0,00000000,0,0,0,0ff0,4022474071
81,81,0,3,0,"ST_IFFT",1,1,3,01000,1,0,000c,0,0,0,4022474071,0,0,00000000,0,0,0,0ff0,4022474071
82,82,0,3,0,"ST_IFFT",1,1,3,01000,1,0,000c,0,0,0,4022474071,0,0,00000000,0,0,0,0ff0,4022474071
83,83,0,3,0,"ST_IFFT",1,1,3,01000,1,0,000c,0,0,0,4022474071,0,0,00000000,0,0,0,0ff0,4022474071
84,84,0,3,0,"ST_IFFT",1,1,3,01000,1,0,000c,0,0,0,4022474071,0,0,00000000,0,0,0,0ff0,4022474071
85,85,0,3,0,"ST_IFFT",1,1,3,01000,1,0,000c,0,0,0,4022474071,0,0,00000000,0,0,0,0ff0,4022474071
86,86,0,3,0,"ST_IFFT",1,1,3,01000,1,0,000c,0,0,0,4022474071,0,0,00000000,0,0,0,0ff0,4022474071
87,87,0,3,0,"ST_IFFT",1,1,3,01000,1,0,000c,0,0,0,4022474071,0,0,00000000,0,0,0,0ff0,4022474071
88,88,0,3,0,"ST_IFFT",1,1,3,01000,1,0,000c,0,0,0,4022474071,0,0,00000000,0,0,0,0ff0,4022474071
89,89,0,3,0,"ST_IFFT",1,1,3,01000,1,0,000c,0,0,0,4022474071,0,0,00000000,0,0,0,0ff0,4022474071
90,90,0,3,0,"ST_IFFT",1,1,3,01000,1,0,000c,0,0,0,4022474071,0,0,00000000,0,0,0,0ff0,4022474071
91,91,0,3,0,"ST_IFFT",1,1,3,01000,1,0,000c,0,0,0,4022474071,0,0,00000000,0,0,0,0ff0,4022474071
92,92,0,3,0,"ST_IFFT",1,1,3,01000,1,0,000c,0,0,0,4022474071,0,0,00000000,0,0,0,0ff0,4022474071
93,93,0,3,0,"ST_IFFT",1,1,3,01000,1,0,000c,0,0,0,4022474071,0,0,00000000,0,0,0,0ff0,4022474071
94,94,0,3,0,"ST_IFFT",1,1,3,01000,1,0,000c,0,0,0,4022474071,0,0,00000000,0,0,0,0ff0,4022474071
95,95,0,3,0,"ST_IFFT",1,1,3,01000,1,0,000c,0,0,0,4022474071,0,0,00000000,0,0,0,0ff0,4022474071
96,96,0,3,0,"ST_IFFT",1,1,3,01000,1,0,000c,0,0,0,4022474071,0,0,00000000,0,0,0,0ff0,4022474071
97,97,0,3,0,"ST_IFFT",1,1,3,01000,1,0,000c,0,0,0,4022474071,0,0,00000000,0,0,0,0ff0,4022474071
98,98,0,3,0,"ST_IFFT",1,1,3,01000,1,0,000c,0,0,0,4022474071,0,0,00000000,0,0,0,0ff0,4022474071
99,99,0,3,0,"ST_IFFT",1,1,3,01000,1,0,000c,0,0,0,4022474071,0,0,00000000,0,0,0,0ff0,4022474071
100,100,0,3,0,"ST_IFFT",1,1,3,01000,1,0,000c,0,0,0,4022474071,0,0,00000000,0,0,0,0ff0,4022474071
101,101,0,3,0,"ST_IFFT",1,1,3,01000,1,0,000c,0,0,0,4022474071,0,0,00000000,0,0,0,0ff0,4022474071
102,102,0,3,0,"ST_IFFT",1,1,3,01000,1,0,000c,0,0,0,4022474071,0,0,00000000,0,0,0,0ff0,4022474071
103,103,0,3,0,"ST_IFFT",1,1,3,01000,1,0,000c,0,0,0,4022474071,0,0,00000000,0,0,0,0ff0,4022474071
104,104,0,3,0,"ST_IFFT",1,1,3,01000,1,0,000c,0,0,0,4022474071,0,0,00000000,0,0,0,0ff0,4022474071
105,105,0,3,0,"ST_IFFT",1,1,3,01000,1,0,000c,0,0,0,4022474071,0,0,00000000,0,0,0,0ff0,4022474071
106,106,0,3,0,"ST_IFFT",1,1,3,01000,1,0,000c,0,0,0,4022474071,0,0,00000000,0,0,0,0ff0,4022474071
107,107,0,3,0,"ST_IFFT",1,1,3,01000,1,0,000c,0,0,0,4022474071,0,0,00000000,0,0,0,0ff0,4022474071
108,108,0,3,0,"ST_IFFT",1,1,3,01000,1,0,000c,0,0,0,4022474071,0,0,00000000,0,0,0,0ff0,4022474071
109,109,0,3,0,"ST_IFFT",1,1,3,01000,1,0,000c,0,0,0,4022474071,0,0,00000000,0,0,0,0ff0,4022474071
110,110,0,3,0,"ST_IFFT",1,1,3,01000,1,0,000c,0,0,0,4022474071,0,0,00000000,0,0,0,0ff0,4022474071
111,111,0,3,0,"ST_IFFT",1,1,3,01000,1,0,000c,0,0,0,4022474071,0,0,00000000,0,0,0,0ff0,4022474071
112,112,0,3,0,"ST_IFFT",1,1,3,01000,1,0,000c,0,0,0,4022474071,0,0,00000000,0,0,0,0ff0,4022474071
113,113,0,3,0,"ST_IFFT",1,1,3,01000,1,0,000c,0,0,0,4022474071,0,0,00000000,0,0,0,0ff0,4022474071
114,114,0,3,0,"ST_IFFT",1,1,3,01000,1,0,000c,0,0,0,4022474071,0,0,00000000,0,0,0,0ff0,4022474071
115,115,0,3,0,"ST_IFFT",1,1,3,01000,1,0,000c,0,0,0,4022474071,0,0,00000000,0,0,0,0ff0,4022474071
116,116,0,3,0,"ST_IFFT",1,1,3,01000,1,0,000c,0,0,0,4022474071,0,0,00000000,0,0,0,0ff0,4022474071
117,117,0,3,0,"ST_IFFT",1,1,3,01000,1,0,000c,0,0,0,4022474071,0,0,00000000,0,0,0,0ff0,4022474071
118,118,0,3,0,"ST_IFFT",1,1,3,01000,1,0,000c,0,0,0,4022474071,0,0,00000000,0,0,0,0ff0,4022474071
119,119,0,3,0,"ST_IFFT",1,1,3,01000,1,0,000c,0,0,0,4022474071,0,0,00000000,0,0,0,0ff0,4022474071
120,120,0,3,0,"ST_IFFT",1,1,3,01000,1,0,000c,0,0,0,4022474071,0,0,00000000,0,0,0,0ff0,4022474071
121,121,0,3,0,"ST_IFFT",1,1,3,01000,1,0,000c,0,0,0,4022474071,0,0,00000000,0,0,0,0ff0,4022474071
122,122,0,3,0,"ST_IFFT",1,1,3,01000,1,0,000c,0,0,0,4022474071,0,0,00000000,0,0,0,0ff0,4022474071
123,123,0,3,0,"ST_IFFT",1,1,3,01000,1,0,000c,0,0,0,4022474071,0,0,00000000,0,0,0,0ff0,4022474071
124,124,0,3,0,"ST_IFFT",1,1,3,01000,1,0,000c,0,0,0,4022474071,0,0,00000000,0,0,0,0ff0,4022474071
125,125,0,3,0,"ST_IFFT",1,1,3,01000,1,0,000c,0,0,0,4022474071,0,0,00000000,0,0,0,0ff0,4022474071
126,126,0,3,0,"ST_IFFT",1,1,3,01000,1,0,000c,0,0,0,4022474071,0,0,00000000,0,0,0,0ff0,4022474071
127,127,0,3,0,"ST_IFFT",1,1,3,01000,1,0,000c,0,0,0,4022474071,0,0,00000000,0,0,0,0ff0,4022474071
128,128,0,3,0,"ST_IFFT",1,1,3,01000,1,0,000c,0,0,0,4022474071,0,0,00000000,0,0,0,0ff0,4022474071
129,129,0,3,0,"ST_IFFT",1,1,3,01000,1,0,000c,0,0,0,4022474071,0,0,00000000,0,0,0,0ff0,4022474071
130,130,0,3,0,"ST_IFFT",1,1,3,01000,1,0,000c,0,0,0,4022474071,0,0,00000000,0,0,0,0ff0,4022474071
131,131,0,3,0,"ST_IFFT",1,1,3,01000,1,0,000c,0,0,0,4022474071,0,0,00000000,0,0,0,0ff0,4022474071
132,132,0,3,0,"ST_IFFT",1,1,3,01000,1,0,000c,0,0,0,4022474071,0,0,00000000,0,0,0,0ff0,4022474071
133,133,0,3,0,"ST_IFFT",1,1,3,01000,1,0,000c,0,0,0,4022474071,0,0,00000000,0,0,0,0ff0,4022474071
134,134,0,3,0,"ST_IFFT",1,1,3,01000,1,0,000c,0,0,0,4022474071,0,0,00000000,0,0,0,0ff0,4022474071
135,135,0,3,0,"ST_IFFT",1,1,3,01000,1,0,000c,0,0,0,4022474071,0,0,00000000,0,0,0,0ff0,4022474071
136,136,0,3,0,"ST_IFFT",1,1,3,01000,1,0,000c,0,0,0,4022474071,0,0,00000000,0,0,0,0ff0,4022474071
137,137,0,3,0,"ST_IFFT",1,1,3,01000,1,0,000c,0,0,0,4022474071,0,0,00000000,0,0,0,0ff0,4022474071
138,138,0,3,0,"ST_IFFT",1,1,3,01000,1,0,000c,0,0,0,4022474071,0,0,00000000,0,0,0,0ff0,4022474071
139,139,0,3,0,"ST_IFFT",1,1,3,01000,1,0,000c,0,0,0,4022474071,0,0,00000000,0,0,0,0ff0,4022474071
140,140,0,3,0,"ST_IFFT",1,1,3,01000,1,0,000c,0,0,0,4022474071,0,0,00000000,0,0,0,0ff0,4022474071
141,141,0,3,0,"ST_IFFT",1,1,3,01000,1,0,000c,0,0,0,4022474071,0,0,00000000,0,0,0,0ff0,4022474071
142,142,0,3,0,"ST_IFFT",1,1,3,01000,1,0,000c,0,0,0,4022474071,0,0,00000000,0,0,0,0ff0,4022474071
143,143,0,3,0,"ST_IFFT",1,1,3,01000,1,0,000c,0,0,0,4022474071,0,0,00000000,0,0,0,0ff0,4022474071
144,144,0,3,0,"ST_IFFT",1,1,3,01000,1,0,000c,0,0,0,4022474071,0,0,00000000,0,0,0,0ff0,4022474071
145,145,0,3,0,"ST_IFFT",1,1,3,01000,1,0,000c,0,0,0,4022474071,0,0,00000000,0,0,0,0ff0,4022474071
146,146,0,3,0,"ST_IFFT",1,1,3,01000,1,0,000c,0,0,0,4022474071,0,0,00000000,0,0,0,0ff0,4022474071
147,147,0,3,0,"ST_IFFT",1,1,3,01000,1,0,000c,0,0,0,4022474071,0,0,00000000,0,0,0,0ff0,4022474071
148,148,0,3,0,"ST_IFFT",1,1,3,01000,1,0,000c,0,0,0,4022474071,0,0,00000000,0,0,0,0ff0,4022474071
149,149,0,3,0,"ST_IFFT",1,1,3,01000,1,0,000c,0,0,0,4022474071,0,0,00000000,0,0,0,0ff0,4022474071
150,150,0,3,0,"ST_IFFT",1,1,3,01000,1,0,000c,0,0,0,4022474071,0,0,00000000,0,0,0,0ff0,4022474071
151,151,0,3,0,"ST_IFFT",1,1,3,01000,1,0,000c,0,0,0,4022474071,0,0,00000000,0,0,0,0ff0,4022474071
152,152,0,3,0,"ST_IFFT",1,1,3,01000,1,0,000c,0,0,0,4022474071,0,0,00000000,0,0,0,0ff0,4022474071
153,153,0,3,0,"ST_IFFT",1,1,3,01000,1,0,000c,0,0,0,4022474071,0,0,00000000,0,0,0,0ff0,4022474071
154,154,0,3,0,"ST_IFFT",1,1,3,01000,1,0,000c,0,0,0,4022474071,0,0,00000000,0,0,0,0ff0,4022474071
155,155,0,3,0,"ST_IFFT",1,1,3,01000,1,0,000c,0,0,0,4022474071,0,0,00000000,0,0,0,0ff0,4022474071
156,156,0,3,0,"ST_IFFT",1,1,3,01000,1,0,000c,0,0,0,4022474071,0,0,00000000,0,0,0,0ff0,4022474071
157,157,0,3,0,"ST_IFFT",1,1,3,01000,1,0,000c,0,0,0,4022474071,0,0,00000000,0,0,0,0ff0,4022474071
158,158,0,3,0,"ST_IFFT",1,1,3,01000,1,0,000c,0,0,0,4022474071,0,0,00000000,0,0,0,0ff0,4022474071
159,159,0,3,0,"ST_IFFT",1,1,3,01000,1,0,000c,0,0,0,4022474071,0,0,00000000,0,0,0,0ff0,4022474071
160,160,0,3,0,"ST_IFFT",1,1,3,01000,1,0,000c,0,0,0,4022474071,0,0,00000000,0,0,0,0ff0,4022474071
161,161,0,3,0,"ST_IFFT",1,1,3,01000,1,0,000c,0,0,0,4022474071,0,0,00000000,0,0,0,0ff0,4022474071
162,162,0,3,0,"ST_IFFT",1,1,3,01000,1,0,000c,0,0,0,4022474071,0,0,00000000,0,0,0,0ff0,4022474071
163,163,0,3,0,"ST_IFFT",1,1,3,01000,1,0,000c,0,0,0,4022474071,0,0,00000000,0,0,0,0ff0,4022474071
164,164,0,3,0,"ST_IFFT",1,1,3,01000,1,0,000c,0,0,0,4022474071,0,0,00000000,0,0,0,0ff0,4022474071
165,165,0,3,0,"ST_IFFT",1,1,3,01000,1,0,000c,0,0,0,4022474071,0,0,00000000,0,0,0,0ff0,4022474071
166,166,0,3,0,"ST_IFFT",1,1,3,01000,1,0,000c,0,0,0,4022474071,0,0,00000000,0,0,0,0ff0,4022474071
167,167,0,3,0,"ST_IFFT",1,1,3,01000,1,0,000c,0,0,0,4022474071,0,0,00000000,0,0,0,0ff0,4022474071
168,168,0,3,0,"ST_IFFT",1,1,3,01000,1,0,000c,0,0,0,4022474071,0,0,00000000,0,0,0,0ff0,4022474071
169,169,0,3,0,"ST_IFFT",1,1,3,01000,1,0,000c,0,0,0,4022474071,0,0,00000000,0,0,0,0ff0,4022474071
170,170,0,3,0,"ST_IFFT",1,1,3,01000,1,0,000c,0,0,0,4022474071,0,0,00000000,0,0,0,0ff0,4022474071
171,171,0,3,0,"ST_IFFT",1,1,3,01000,1,0,000c,0,0,0,4022474071,0,0,00000000,0,0,0,0ff0,4022474071
172,172,0,3,0,"ST_IFFT",1,1,3,01000,1,0,000c,0,0,0,4022474071,0,0,00000000,0,0,0,0ff0,4022474071
173,173,0,3,0,"ST_IFFT",1,1,3,01000,1,0,000c,0,0,0,4022474071,0,0,00000000,0,0,0,0ff0,4022474071
174,174,0,3,0,"ST_IFFT",1,1,3,01000,1,0,000c,0,0,0,4022474071,0,0,00000000,0,0,0,0ff0,4022474071
